Date,RBA
2022-01-18,139.9499969482422
2022-01-19,137.14999389648438
2022-01-20,137.8000030517578
2022-01-21,135.39999389648438
2022-01-24,133.0
2022-01-25,133.10000610351562
2022-01-27,130.25
2022-01-28,134.39999389648438
2022-01-31,133.89999389648438
2022-02-01,134.85000610351562
2022-02-02,136.35000610351562
2022-02-03,140.14999389648438
2022-02-04,140.85000610351562
2022-02-07,136.75
2022-02-08,137.10000610351562
2022-02-09,137.10000610351562
2022-02-10,136.5
2022-02-11,134.9499969482422
2022-02-14,130.0500030517578
2022-02-15,131.8000030517578
2022-02-16,139.89999389648438
2022-02-17,133.10000610351562
2022-02-18,127.69999694824219
2022-02-21,117.30000305175781
2022-02-22,108.75
2022-02-23,108.94999694824219
2022-02-24,96.25
2022-02-25,109.44999694824219
2022-02-28,104.6500015258789
2022-03-02,106.3499984741211
2022-03-03,106.9000015258789
2022-03-04,107.19999694824219
2022-03-07,103.0999984741211
2022-03-08,105.8499984741211
2022-03-09,108.69999694824219
2022-03-10,108.69999694824219
2022-03-11,106.69999694824219
2022-03-14,104.4000015258789
2022-03-15,105.55000305175781
2022-03-16,106.3499984741211
2022-03-17,104.3499984741211
2022-03-21,102.0
2022-03-22,102.1500015258789
2022-03-23,101.44999694824219
2022-03-24,99.69999694824219
2022-03-25,100.30000305175781
2022-03-28,98.1500015258789
2022-03-29,96.80000305175781
2022-03-30,100.25
2022-03-31,100.75
2022-04-01,112.75
2022-04-04,112.3499984741211
2022-04-05,115.9000015258789
2022-04-06,114.94999694824219
2022-04-07,111.75
2022-04-08,112.9000015258789
2022-04-11,112.6500015258789
2022-04-12,111.19999694824219
2022-04-13,111.25
2022-04-18,107.25
2022-04-19,105.8499984741211
2022-04-20,105.69999694824219
2022-04-21,106.25
2022-04-22,108.94999694824219
2022-04-25,105.19999694824219
2022-04-26,106.5
2022-04-27,104.75
2022-04-28,103.5
2022-04-29,101.5
2022-05-02,99.5999984741211
2022-05-04,96.94999694824219
2022-05-05,96.5
2022-05-06,95.0999984741211
2022-05-09,94.1500015258789
2022-05-10,93.05000305175781
2022-05-11,90.80000305175781
2022-05-12,87.3499984741211
2022-05-13,90.05000305175781
2022-05-16,95.6500015258789
2022-05-17,97.30000305175781
2022-05-18,97.19999694824219
2022-05-19,93.69999694824219
2022-05-20,98.0
2022-05-23,95.05000305175781
2022-05-24,95.05000305175781
2022-05-25,93.0
2022-05-26,95.6500015258789
2022-05-27,97.30000305175781
2022-05-30,100.3499984741211
2022-05-31,97.19999694824219
2022-06-01,102.1500015258789
2022-06-02,105.6500015258789
2022-06-03,105.4000015258789
2022-06-06,103.3499984741211
2022-06-07,100.8499984741211
2022-06-08,104.6500015258789
2022-06-09,106.05000305175781
2022-06-10,106.55000305175781
2022-06-13,102.0
2022-06-14,103.8499984741211
2022-06-15,105.0
2022-06-16,103.44999694824219
2022-06-17,100.8499984741211
2022-06-20,102.0
2022-06-21,103.25
2022-06-22,102.0999984741211
2022-06-23,104.05000305175781
2022-06-24,105.9000015258789
2022-06-27,106.80000305175781
2022-06-28,109.3499984741211
2022-06-29,110.69999694824219
2022-06-30,111.0
2022-07-01,110.75
2022-07-04,110.75
2022-07-05,110.44999694824219
2022-07-06,111.0999984741211
2022-07-07,110.80000305175781
2022-07-08,112.0
2022-07-11,113.9000015258789
2022-07-12,113.0
2022-07-13,112.6500015258789
2022-07-14,113.30000305175781
2022-07-15,114.05000305175781
2022-07-18,114.9000015258789
2022-07-19,115.19999694824219
2022-07-20,117.30000305175781
2022-07-21,120.8499984741211
2022-07-22,118.69999694824219
2022-07-25,118.0
2022-07-26,115.6500015258789
2022-07-27,116.25
2022-07-28,115.55000305175781
2022-07-29,119.94999694824219
2022-08-01,120.05000305175781
2022-08-02,119.55000305175781
2022-08-03,122.9000015258789
2022-08-04,120.6500015258789
2022-08-05,125.0999984741211
2022-08-08,123.6500015258789
2022-08-10,125.0999984741211
2022-08-11,124.05000305175781
2022-08-12,123.1500015258789
2022-08-16,122.5999984741211
2022-08-17,126.0999984741211
2022-08-18,127.6500015258789
2022-08-19,129.14999389648438
2022-08-22,133.39999389648438
2022-08-23,136.0500030517578
2022-08-24,133.10000610351562
2022-08-25,131.3000030517578
2022-08-26,130.25
2022-08-29,127.19999694824219
2022-08-30,132.14999389648438
2022-09-01,131.0500030517578
