Date,SIS
2018-11-29,391.47589111328125
2018-11-30,372.4809265136719
2018-12-03,369.4407653808594
2018-12-04,370.51092529296875
2018-12-05,373.55108642578125
2018-12-06,372.35931396484375
2018-12-07,376.9803771972656
2018-12-10,370.7054748535156
2018-12-11,373.7943115234375
2018-12-12,384.7875061035156
2018-12-13,375.95892333984375
2018-12-14,371.7999572753906
2018-12-17,375.05902099609375
2018-12-18,365.427734375
2018-12-19,372.8944091796875
2018-12-20,372.26202392578125
2018-12-21,367.5923767089844
2018-12-24,364.79541015625
2018-12-26,364.1387023925781
2018-12-27,371.8729248046875
2018-12-28,366.66815185546875
2018-12-31,374.329345703125
2019-01-01,373.86724853515625
2019-01-02,364.5765075683594
2019-01-03,362.6308288574219
2019-01-04,365.111572265625
2019-01-07,364.84405517578125
2019-01-08,365.9142150878906
2019-01-09,368.3219909667969
2019-01-10,367.8112487792969
2019-01-11,368.3219909667969
2019-01-14,365.81689453125
2019-01-15,370.92437744140625
2019-01-16,374.0861511230469
2019-01-17,376.1048583984375
2019-01-18,374.8157653808594
2019-01-21,377.0290222167969
2019-01-22,379.582763671875
2019-01-23,378.5612487792969
2019-01-24,379.6070861816406
2019-01-25,376.9803771972656
2019-01-28,369.41644287109375
2019-01-29,368.3462829589844
2019-01-30,364.86834716796875
2019-01-31,375.69134521484375
2019-02-01,374.6698303222656
2019-02-04,366.522216796875
2019-02-05,368.68682861328125
2019-02-06,372.55389404296875
2019-02-07,373.7456359863281
2019-02-08,378.19647216796875
2019-02-11,369.1975402832031
2019-02-12,369.14892578125
2019-02-14,371.8972473144531
2019-02-15,369.2705383300781
2019-02-18,368.8813781738281
2019-02-19,367.1545715332031
2019-02-20,370.7054748535156
2019-02-21,372.1647644042969
2019-02-22,372.7485046386719
2019-02-25,370.1947326660156
2019-02-26,367.932861328125
2019-02-27,369.70831298828125
2019-02-28,396.6076965332031
2019-03-01,384.3497619628906
2019-03-05,400.49908447265625
2019-03-06,404.48779296875
2019-03-07,408.91424560546875
2019-03-08,401.0098876953125
2019-03-11,404.99853515625
