Date,PGHH
2015-03-17,6095.2177734375
2015-03-18,6164.982421875
2015-03-19,6142.31298828125
2015-03-20,6136.71875
2015-03-23,6024.9501953125
2015-03-24,6053.42431640625
2015-03-25,6010.62841796875
2015-03-26,5957.18798828125
2015-03-27,5977.31103515625
2015-03-30,6019.857421875
2015-03-31,6033.1748046875
2015-04-01,6002.947265625
2015-04-06,6038.9365234375
2015-04-07,5981.0703125
2015-04-08,5986.7900390625
2015-04-09,5978.7744140625
2015-04-10,5970.33935546875
2015-04-13,5953.5556640625
2015-04-15,5944.37060546875
2015-04-16,5968.6689453125
2015-04-17,5941.740234375
2015-04-20,5831.51611328125
2015-04-21,5814.9833984375
2015-04-22,5654.99267578125
2015-04-23,5691.35888671875
2015-04-24,5574.580078125
2015-04-27,5396.552734375
2015-04-28,5590.90478515625
2015-04-29,5628.98193359375
2015-04-30,5727.59765625
2015-05-04,5675.701171875
2015-05-05,5708.8935546875
2015-05-06,5644.177734375
2015-05-07,5684.3017578125
2015-05-08,5737.41015625
2015-05-11,5739.95751953125
2015-05-12,5680.54443359375
2015-05-13,5601.25927734375
2015-05-14,5697.6201171875
2015-05-15,5668.8115234375
2015-05-18,5612.86572265625
2015-05-19,5577.50390625
2015-05-20,5526.7744140625
2015-05-21,5519.25927734375
2015-05-22,5554.20556640625
2015-05-25,5523.5166015625
2015-05-26,5434.546875
2015-05-27,5457.63427734375
2015-05-28,5363.52734375
2015-05-29,5323.529296875
2015-06-01,5370.291015625
2015-06-02,5363.69384765625
2015-06-03,5403.984375
2015-06-04,5320.39794921875
2015-06-05,5332.798828125
2015-06-08,5327.37060546875
2015-06-09,5328.91552734375
2015-06-10,5284.24267578125
2015-06-11,5266.205078125
2015-06-12,5228.4619140625
2015-06-15,5273.55322265625
2015-06-16,5198.5693359375
2015-06-17,5279.6494140625
2015-06-18,5311.337890625
2015-06-19,5335.13623046875
2015-06-22,5372.169921875
2015-06-23,5426.529296875
2015-06-24,5351.544921875
2015-06-25,5398.0556640625
2015-06-26,5482.392578125
2015-06-29,5437.72021484375
2015-06-30,5707.390625
2015-07-01,5653.44873046875
2015-07-02,5580.6337890625
2015-07-03,5505.10546875
2015-07-06,5483.47900390625
2015-07-07,5588.4833984375
2015-07-08,5504.6474609375
2015-07-09,5440.80859375
2015-07-10,5353.04833984375
2015-07-13,5377.806640625
2015-07-14,5365.322265625
2015-07-15,5311.2958984375
2015-07-16,5373.255859375
2015-07-17,5368.705078125
2015-07-20,5380.26806640625
2015-07-21,5312.673828125
2015-07-22,5315.97216796875
2015-07-23,5317.39306640625
2015-07-24,5257.1455078125
2015-07-27,5185.20849609375
2015-07-28,5170.13623046875
2015-07-29,5217.06396484375
2015-07-30,5281.19384765625
2015-07-31,5315.72314453125
2015-08-03,5203.70361328125
2015-08-04,5282.23681640625
2015-08-05,5388.453125
2015-08-06,5401.72998046875
2015-08-07,5454.83642578125
2015-08-10,5444.44189453125
2015-08-11,5452.0400390625
2015-08-12,5399.76708984375
2015-08-13,5319.271484375
2015-08-14,5314.97021484375
2015-08-17,5259.48388671875
2015-08-18,5255.85107421875
2015-08-19,5242.4482421875
2015-08-20,5239.40185546875
2015-08-21,5246.5400390625
2015-08-24,5089.8076171875
2015-08-25,5045.63330078125
2015-08-26,5013.56884765625
2015-08-27,5021.208984375
2015-08-28,5047.9716796875
2015-08-31,5048.09716796875
2015-09-01,5037.826171875
2015-09-02,5065.84033203125
2015-09-03,5143.66455078125
2015-09-04,5155.814453125
2015-09-07,5009.4775390625
