Date,DBL
2022-09-21,234.45115661621094
2022-09-22,235.9945831298828
2022-09-23,228.8749237060547
2022-09-26,215.68113708496094
2022-09-27,215.68113708496094
2022-09-28,212.74363708496094
2022-09-29,211.54872131347656
2022-09-30,219.86331176757812
2022-10-03,214.18748474121094
2022-10-04,219.0169219970703
2022-10-06,221.60589599609375
2022-10-07,225.09103393554688
2022-10-10,222.20333862304688
2022-10-11,219.41522216796875
2022-10-12,219.21604919433594
2022-10-13,216.328369140625
2022-10-14,216.5275115966797
2022-10-17,219.5645751953125
2022-10-18,218.76797485351562
2022-10-19,217.722412109375
2022-10-20,219.46499633789062
2022-10-21,217.5232696533203
2022-10-24,218.96713256835938
2022-10-25,219.16627502441406
2022-10-27,218.07095336914062
2022-10-28,216.47772216796875
2022-10-31,214.28704833984375
2022-11-01,216.22879028320312
2022-11-02,216.77645874023438
2022-11-03,219.06671142578125
2022-11-04,221.60589599609375
2022-11-07,225.09103393554688
2022-11-09,220.61012268066406
2022-11-10,219.66415405273438
2022-11-11,223.49781799316406
2022-11-14,229.4723663330078
2022-11-15,229.22341918945312
2022-11-16,227.23191833496094
2022-11-17,224.4438018798828
2022-11-18,220.1620330810547
2022-11-21,219.86331176757812
2022-11-22,220.26161193847656
2022-11-23,219.76373291015625
2022-11-24,221.0084228515625
2022-11-25,222.10377502441406
2022-11-28,232.1111297607422
2022-11-29,235.4468994140625
2022-11-30,234.0528564453125
2022-12-01,231.513671875
2022-12-02,237.08993530273438
2022-12-05,240.37591552734375
2022-12-06,236.79119873046875
2022-12-07,236.8409881591797
2022-12-08,233.70433044433594
2022-12-09,222.99993896484375
2022-12-12,227.48086547851562
2022-12-13,229.9204559326172
2022-12-14,228.57618713378906
2022-12-15,233.70433044433594
2022-12-16,228.37704467773438
2022-12-19,238.28482055664062
2022-12-20,235.9945831298828
2022-12-21,225.83786010742188
2022-12-22,221.9046173095703
2022-12-23,207.21719360351562
2022-12-26,214.33685302734375
2022-12-27,218.22030639648438
2022-12-28,216.62710571289062
2022-12-29,216.02963256835938
2022-12-30,216.0794219970703
2023-01-02,219.0169219970703
2023-01-03,222.4522705078125
2023-01-04,218.7181854248047
2023-01-05,219.26583862304688
2023-01-06,217.02540588378906
2023-01-09,221.45651245117188
2023-01-10,219.21604919433594
2023-01-11,219.0169219970703
2023-01-12,219.41522216796875
2023-01-13,219.96287536621094
2023-01-16,219.21604919433594
2023-01-17,217.17477416992188
2023-01-18,219.26583862304688
2023-01-19,217.57305908203125
2023-01-20,215.2828369140625
2023-01-23,215.0338897705078
2023-01-24,219.51478576660156
2023-01-25,216.27857971191406
2023-01-27,212.74363708496094
2023-01-30,210.80191040039062
2023-01-31,213.24151611328125
2023-02-01,210.00531005859375
2023-02-02,208.36228942871094
2023-02-03,207.1674041748047
2023-02-06,208.11337280273438
2023-02-07,205.62396240234375
2023-02-08,208.9597625732422
2023-02-09,210.503173828125
2023-02-10,213.68960571289062
2023-02-13,211.8474578857422
2023-02-14,209.40786743164062
2023-02-15,208.76058959960938
2023-02-16,207.36654663085938
2023-02-17,207.11761474609375
2023-02-20,207.31675720214844
2023-02-21,204.77757263183594
2023-02-22,201.54135131835938
2023-02-23,196.81150817871094
2023-02-24,192.62933349609375
2023-02-27,195.6663818359375
2023-02-28,194.82000732421875
2023-03-01,196.06468200683594
2023-03-02,196.2140655517578
2023-03-03,198.45452880859375
2023-03-06,198.20558166503906
2023-03-08,200.1970977783203
2023-03-09,201.04348754882812
2023-03-10,198.25537109375
2023-03-13,194.0731658935547
