Date,MGL
2021-07-12,1028.240966796875
2021-07-13,1033.8623046875
2021-07-14,1019.43896484375
2021-07-15,1011.595458984375
2021-07-16,1004.6234130859375
2021-07-19,1001.1373291015625
2021-07-20,986.3656005859375
2021-07-22,999.830078125
2021-07-23,997.2157592773438
2021-07-26,992.7274780273438
2021-07-27,990.4616088867188
2021-07-28,975.4280395507812
2021-07-29,966.3212890625
2021-07-30,1017.3473510742188
2021-08-02,1033.4266357421875
2021-08-03,1036.171875
2021-08-04,1023.2298583984375
2021-08-05,1025.278076171875
2021-08-06,1018.6546630859375
2021-08-09,995.2548828125
2021-08-10,981.0057983398438
2021-08-11,974.2080688476562
2021-08-12,999.4381103515625
2021-08-13,994.5140380859375
2021-08-16,981.7028198242188
2021-08-17,981.9645385742188
2021-08-18,981.87744140625
2021-08-20,957.7366333007812
2021-08-23,944.707763671875
2021-08-24,975.4718017578125
2021-08-25,980.221435546875
2021-08-26,974.3823852539062
2021-08-27,986.45263671875
2021-08-30,990.7664184570312
2021-08-31,999.30712890625
2021-09-01,1002.2269287109375
2021-09-02,1029.5047607421875
2021-09-03,1022.619873046875
2021-09-06,1034.995361328125
2021-09-07,1029.1998291015625
2021-09-08,1025.670166015625
2021-09-09,1018.6112060546875
2021-09-13,1029.8099365234375
2021-09-14,1036.2591552734375
2021-09-15,1028.6334228515625
2021-09-16,1023.8836669921875
2021-09-17,1001.87744140625
2021-09-20,976.8724365234375
2021-09-21,972.241943359375
2021-09-22,965.1858520507812
2021-09-23,974.6233520507812
2021-09-24,967.6112670898438
2021-09-27,952.9259643554688
2021-09-28,952.2201538085938
2021-09-29,948.2510986328125
2021-09-30,954.910400390625
2021-10-01,969.948486328125
2021-10-04,962.0987548828125
2021-10-05,952.7052001953125
2021-10-06,948.5158081054688
2021-10-07,949.6182861328125
2021-10-08,941.94482421875
2021-10-11,944.0176391601562
2021-10-12,934.05078125
2021-10-13,948.20703125
2021-10-14,941.1509399414062
2021-10-18,943.179443359375
2021-10-19,937.4905395507812
2021-10-20,920.6000366210938
2021-10-21,899.4757690429688
2021-10-22,882.1884155273438
2021-10-25,865.1214599609375
2021-10-26,889.0239868164062
2021-10-27,879.27783203125
2021-10-28,861.6815795898438
2021-10-29,884.7903442382812
2021-11-01,895.8154907226562
2021-11-02,896.2122802734375
2021-11-03,888.0977783203125
2021-11-04,893.7427368164062
2021-11-08,889.2886352539062
2021-11-09,899.6522827148438
2021-11-10,892.9047241210938
2021-11-11,886.9071655273438
2021-11-12,890.1265258789062
2021-11-15,897.932373046875
2021-11-16,888.8917236328125
2021-11-17,881.9678344726562
2021-11-18,849.9949951171875
2021-11-22,829.2677612304688
2021-11-23,827.3273315429688
2021-11-24,826.9744262695312
2021-11-25,822.7407836914062
2021-11-26,816.125732421875
2021-11-29,809.8193359375
2021-11-30,809.069580078125
2021-12-01,804.6594848632812
2021-12-02,812.4654541015625
2021-12-03,809.2018432617188
2021-12-06,789.8858642578125
2021-12-07,800.3818359375
2021-12-08,802.4544677734375
2021-12-09,806.1149291992188
2021-12-10,807.349609375
2021-12-13,800.9109497070312
2021-12-14,805.982666015625
2021-12-15,793.8989868164062
2021-12-16,785.1229858398438
2021-12-17,769.0704345703125
2021-12-20,744.4622192382812
2021-12-21,746.71142578125
2021-12-22,750.5481567382812
2021-12-23,756.942626953125
2021-12-24,748.7841796875
2021-12-27,748.3431396484375
2021-12-28,757.4719848632812
2021-12-29,756.1929321289062
2021-12-30,754.1644287109375
2021-12-31,761.1322631835938
2022-01-03,772.6425170898438
2022-01-04,768.62939453125
2022-01-05,774.1419067382812
2022-01-06,775.2003173828125
2022-01-07,779.9631958007812
2022-01-10,785.6080932617188
2022-01-11,778.2433471679688
2022-01-12,776.69970703125
