Date,CARTRADE
2022-06-03,613.9000244140625
2022-06-06,622.6500244140625
2022-06-07,612.75
2022-06-08,637.9500122070312
2022-06-09,699.75
2022-06-10,697.3499755859375
2022-06-13,640.2000122070312
2022-06-14,630.7000122070312
2022-06-15,633.0999755859375
2022-06-16,616.0
2022-06-17,571.75
2022-06-20,559.2000122070312
2022-06-21,590.0
2022-06-22,572.7999877929688
2022-06-23,568.9500122070312
2022-06-24,574.8499755859375
2022-06-27,579.5499877929688
2022-06-28,578.8499755859375
2022-06-29,572.2999877929688
2022-06-30,592.0999755859375
2022-07-01,590.9000244140625
2022-07-04,576.4000244140625
2022-07-05,588.0
2022-07-06,601.7999877929688
2022-07-07,649.9000244140625
2022-07-08,673.4000244140625
2022-07-11,676.25
2022-07-12,679.0999755859375
2022-07-13,670.7999877929688
2022-07-14,645.3499755859375
2022-07-15,640.0
2022-07-18,659.5499877929688
2022-07-19,674.2000122070312
2022-07-20,682.1500244140625
2022-07-21,686.5
2022-07-22,691.9500122070312
2022-07-25,678.9000244140625
2022-07-26,673.25
2022-07-27,677.7999877929688
2022-07-28,676.4500122070312
2022-07-29,697.8499755859375
2022-08-01,674.4500122070312
2022-08-02,672.3499755859375
2022-08-03,671.4000244140625
2022-08-04,657.5
2022-08-05,649.5499877929688
2022-08-08,631.0999755859375
2022-08-10,629.0999755859375
2022-08-11,633.6500244140625
2022-08-12,638.5999755859375
2022-08-16,635.9500122070312
2022-08-17,631.2000122070312
2022-08-18,628.0999755859375
2022-08-19,633.75
2022-08-22,643.5
2022-08-23,633.4500122070312
2022-08-24,638.4000244140625
2022-08-25,634.8499755859375
2022-08-26,643.3499755859375
2022-08-29,640.7000122070312
2022-08-30,644.4000244140625
2022-09-01,644.0
2022-09-02,648.9500122070312
2022-09-05,640.0
2022-09-06,645.4000244140625
2022-09-07,644.8499755859375
2022-09-08,641.0999755859375
2022-09-09,639.9500122070312
2022-09-12,661.2999877929688
2022-09-13,708.6500244140625
2022-09-14,717.9500122070312
2022-09-15,690.2999877929688
2022-09-16,686.7000122070312
2022-09-19,669.2000122070312
2022-09-20,661.5499877929688
2022-09-21,654.3499755859375
2022-09-22,652.2000122070312
2022-09-23,640.9500122070312
2022-09-26,621.1500244140625
2022-09-27,619.1500244140625
2022-09-28,612.2000122070312
2022-09-29,610.4500122070312
2022-09-30,613.0
2022-10-03,602.7999877929688
2022-10-04,611.4500122070312
2022-10-06,609.7000122070312
2022-10-07,604.7999877929688
2022-10-10,608.4000244140625
2022-10-11,603.6500244140625
2022-10-12,596.0999755859375
2022-10-13,589.4000244140625
2022-10-14,592.8499755859375
2022-10-17,583.7000122070312
2022-10-18,575.7999877929688
2022-10-19,570.5
2022-10-20,584.5499877929688
2022-10-21,609.8499755859375
2022-10-24,604.8499755859375
2022-10-25,573.1500244140625
2022-10-27,569.1500244140625
2022-10-28,551.4000244140625
2022-10-31,545.1500244140625
2022-11-01,548.75
2022-11-02,538.4500122070312
2022-11-03,538.4000244140625
2022-11-04,527.5999755859375
2022-11-07,516.9500122070312
2022-11-09,508.8500061035156
2022-11-10,501.8999938964844
2022-11-11,518.8499755859375
2022-11-14,514.1500244140625
2022-11-15,504.6499938964844
2022-11-16,501.04998779296875
2022-11-17,495.3999938964844
2022-11-18,490.45001220703125
2022-11-21,489.8500061035156
2022-11-22,482.95001220703125
2022-11-23,484.5
2022-11-24,494.25
2022-11-25,495.1499938964844
2022-11-28,493.1000061035156
2022-11-29,487.8999938964844
2022-11-30,481.0
2022-12-01,484.75
2022-12-02,490.04998779296875
2022-12-05,514.2999877929688
2022-12-06,502.25
2022-12-07,498.45001220703125
2022-12-08,495.04998779296875
2022-12-09,491.70001220703125
2022-12-12,490.29998779296875
2022-12-13,496.8500061035156
2022-12-14,510.70001220703125
