Date,GODREJPROP
2013-09-27,169.47808837890625
2013-09-30,168.00881958007812
2013-10-01,170.35963439941406
2013-10-03,176.7998504638672
2013-10-04,184.02366638183594
2013-10-07,187.32948303222656
2013-10-08,190.0965576171875
2013-10-09,189.9496612548828
2013-10-10,188.70077514648438
2013-10-11,186.15408325195312
2013-10-14,184.78277587890625
2013-10-15,183.46044921875
2013-10-17,179.29757690429688
2013-10-18,180.76683044433594
2013-10-21,181.1341552734375
2013-10-22,180.20361328125
2013-10-23,180.74232482910156
2013-10-24,179.44448852539062
2013-10-25,180.9627227783203
2013-10-28,177.58346557617188
2013-10-29,180.42401123046875
2013-10-30,180.47299194335938
2013-10-31,179.37103271484375
2013-11-01,180.57093811035156
2013-11-05,180.0811767578125
2013-11-06,179.42001342773438
2013-11-07,178.5874481201172
2013-11-08,176.08970642089844
2013-11-11,173.3471221923828
2013-11-12,173.0532684326172
2013-11-13,173.12672424316406
2013-11-14,167.73947143554688
2013-11-18,172.93081665039062
2013-11-19,177.31407165527344
2013-11-20,176.7998504638672
2013-11-21,176.45701599121094
2013-11-22,177.58346557617188
2013-11-25,176.7998504638672
2013-11-26,172.73492431640625
2013-11-27,167.98434448242188
2013-11-28,166.41714477539062
2013-11-29,163.72352600097656
2013-12-02,166.41714477539062
2013-12-03,164.50711059570312
2013-12-04,162.9888916015625
2013-12-05,163.72352600097656
2013-12-06,163.91941833496094
2013-12-09,164.50711059570312
2013-12-10,160.49118041992188
2013-12-11,157.25881958007812
2013-12-12,160.05038452148438
2013-12-13,161.17681884765625
2013-12-16,161.66656494140625
2013-12-17,158.58114624023438
2013-12-18,159.609619140625
2013-12-19,162.00938415527344
2013-12-20,162.54811096191406
2013-12-23,163.67454528808594
2013-12-24,163.67454528808594
2013-12-26,164.26222229003906
2013-12-27,164.164306640625
2013-12-30,161.22579956054688
2013-12-31,162.00938415527344
2014-01-01,176.7998504638672
2014-01-02,163.38070678710938
2014-01-03,163.96839904785156
2014-01-06,164.4581298828125
2014-01-07,163.5765838623047
2014-01-08,162.7440185546875
2014-01-09,161.61758422851562
2014-01-10,160.39321899414062
2014-01-13,161.4217071533203
2014-01-14,162.1563262939453
2014-01-15,161.66656494140625
2014-01-16,158.92396545410156
2014-01-17,156.03443908691406
2014-01-20,157.8465118408203
2014-01-21,160.49118041992188
2014-01-22,161.61758422851562
2014-01-23,161.47067260742188
2014-01-24,157.2098388671875
2014-01-27,153.19387817382812
2014-01-28,155.00596618652344
2014-01-29,156.67111206054688
2014-01-30,151.92054748535156
2014-01-31,159.0708770751953
2014-02-03,156.57318115234375
2014-02-04,155.00596618652344
2014-02-05,156.0834197998047
2014-02-06,155.5936737060547
2014-02-07,155.88751220703125
2014-02-10,155.544677734375
2014-02-11,155.5936737060547
2014-02-12,155.00596618652344
2014-02-13,152.70413208007812
2014-02-14,152.85105895996094
2014-02-17,152.70413208007812
2014-02-18,154.17337036132812
2014-02-19,153.29183959960938
2014-02-20,153.83056640625
2014-02-21,156.67111206054688
2014-02-24,154.76107788085938
2014-02-25,164.4581298828125
2014-02-26,162.8419647216797
2014-02-28,163.8704376220703
2014-03-03,159.7075653076172
2014-03-04,162.00938415527344
2014-03-05,161.568603515625
2014-03-06,166.0253448486328
2014-03-07,166.4661102294922
2014-03-10,167.78843688964844
2014-03-11,175.67344665527344
2014-03-12,178.56295776367188
2014-03-13,173.2246856689453
2014-03-14,174.49801635742188
2014-03-18,171.85336303710938
2014-03-19,170.58001708984375
2014-03-20,172.34310913085938
2014-03-21,173.37159729003906
2014-03-24,175.91831970214844
2014-03-25,179.1996307373047
2014-03-26,182.87274169921875
2014-03-27,187.37844848632812
2014-03-28,198.00604248046875
2014-03-31,209.4661865234375
2014-04-01,213.8739471435547
2014-04-02,218.6735076904297
2014-04-03,221.4160919189453
2014-04-04,221.12225341796875
2014-04-07,223.0322723388672
2014-04-09,221.465087890625
2014-04-10,217.98785400390625
2014-04-11,212.6495819091797
2014-04-15,208.3887481689453
2014-04-16,205.40126037597656
2014-04-17,215.09832763671875
2014-04-21,219.5550537109375
2014-04-22,217.35116577148438
2014-04-23,215.97988891601562
2014-04-24,215.97988891601562
2014-04-25,212.11085510253906
2014-04-28,212.9923858642578
2014-04-29,212.55162048339844
2014-04-30,215.29421997070312
2014-05-02,209.3682403564453
2014-05-05,210.4946746826172
2014-05-06,209.3682403564453
2014-05-07,205.4992218017578
2014-05-08,203.49124145507812
2014-05-09,206.67462158203125
2014-05-12,210.59262084960938
2014-05-13,211.32723999023438
2014-05-14,212.30674743652344
2014-05-15,210.73953247070312
2014-05-16,214.70651245117188
2014-05-19,230.77032470703125
2014-05-20,234.93319702148438
2014-05-21,239.68377685546875
2014-05-22,245.51181030273438
2014-05-23,245.4138641357422
2014-05-26,231.16213989257812
2014-05-27,228.90928649902344
2014-05-28,235.71681213378906
2014-05-29,233.56190490722656
2014-05-30,238.16554260253906
2014-06-02,236.5004119873047
2014-06-03,243.11204528808594
2014-06-04,246.39337158203125
2014-06-05,244.4833526611328
2014-06-06,250.605224609375
2014-06-09,255.0619354248047
2014-06-10,252.6132049560547
2014-06-11,244.6792449951172
2014-06-12,245.85462951660156
2014-06-13,237.33299255371094
2014-06-16,239.24301147460938
2014-06-17,242.2794647216797
2014-06-18,234.54141235351562
2014-06-19,231.7498321533203
2014-06-20,230.2805938720703
2014-06-23,228.22361755371094
2014-06-24,232.97421264648438
2014-06-25,238.36146545410156
2014-06-26,238.11659240722656
2014-06-27,237.62684631347656
2014-06-30,238.65530395507812
2014-07-01,240.95713806152344
2014-07-02,240.5653533935547
2014-07-03,234.68832397460938
2014-07-04,236.30450439453125
2014-07-07,240.6143035888672
2014-07-08,227.5869598388672
2014-07-09,226.4605255126953
2014-07-10,221.66098022460938
2014-07-11,223.17921447753906
2014-07-14,219.35914611816406
2014-07-15,220.04478454589844
2014-07-16,225.8238525390625
2014-07-17,227.3420867919922
2014-07-18,228.56646728515625
2014-07-21,230.7213592529297
2014-07-22,241.1040496826172
2014-07-23,236.45143127441406
2014-07-24,235.6678466796875
2014-07-25,229.39903259277344
2014-07-28,226.23764038085938
2014-07-30,227.81834411621094
2014-07-31,225.74366760253906
2014-08-01,224.2123565673828
2014-08-04,225.64486694335938
2014-08-05,232.8568115234375
2014-08-06,231.37490844726562
2014-08-07,226.6328125
2014-08-08,221.05096435546875
2014-08-11,221.693115234375
2014-08-12,225.05210876464844
2014-08-13,220.6063995361328
2014-08-14,219.91485595703125
2014-08-18,221.84132385253906
2014-08-19,225.00271606445312
2014-08-20,223.12564086914062
2014-08-21,222.3352813720703
2014-08-22,221.24855041503906
2014-08-25,222.68106079101562
2014-08-26,222.03890991210938
2014-08-27,220.7545928955078
2014-08-28,221.4955291748047
2014-09-01,221.94009399414062
2014-09-02,228.9544677734375
2014-09-03,240.71090698242188
2014-09-04,233.0050048828125
2014-09-05,234.78329467773438
2014-09-08,238.29046630859375
2014-09-09,233.89414978027344
2014-09-10,231.4737091064453
2014-09-11,236.21580505371094
2014-09-12,233.99295043945312
2014-09-15,235.623046875
2014-09-16,231.02914428710938
2014-09-17,232.9556121826172
2014-09-18,234.8326873779297
2014-09-19,237.5001220703125
2014-09-22,245.8481903076172
2014-09-23,235.72183227539062
2014-09-24,237.79649353027344
2014-09-25,230.979736328125
2014-09-26,230.28817749023438
2014-09-29,236.80856323242188
2014-09-30,234.04232788085938
2014-10-01,232.46165466308594
2014-10-07,234.882080078125
2014-10-08,232.51104736328125
2014-10-09,237.69772338867188
2014-10-10,236.31459045410156
2014-10-13,237.2531280517578
2014-10-14,234.58570861816406
2014-10-15,234.58570861816406
2014-10-16,230.43637084960938
2014-10-17,226.83041381835938
2014-10-20,222.58226013183594
2014-10-21,230.93032836914062
2014-10-22,230.93032836914062
2014-10-27,231.7700958251953
2014-10-28,233.69656372070312
2014-10-29,236.66038513183594
2014-10-30,238.63624572753906
2014-10-31,241.2048797607422
2014-11-03,248.21923828125
2014-11-05,257.20947265625
2014-11-07,252.12158203125
2014-11-10,248.76260375976562
2014-11-11,249.55296325683594
2014-11-12,248.91079711914062
2014-11-13,242.3410186767578
2014-11-14,246.3915557861328
2014-11-17,247.77467346191406
2014-11-18,247.62648010253906
