Date,CROMPTON
2017-10-23,205.6169891357422
2017-10-24,203.62701416015625
2017-10-25,204.69143676757812
2017-10-26,200.294921875
2017-10-27,202.93284606933594
2017-10-30,207.745849609375
2017-10-31,204.69143676757812
2017-11-01,200.38748168945312
2017-11-02,202.65516662597656
2017-11-03,201.72958374023438
2017-11-06,206.91281127929688
2017-11-07,212.04977416992188
2017-11-08,213.06790161132812
2017-11-09,222.13858032226562
2017-11-10,232.73641967773438
2017-11-13,225.8408660888672
2017-11-14,229.7745819091797
2017-11-15,222.60134887695312
2017-11-16,225.2392578125
2017-11-17,225.88714599609375
2017-11-20,227.32179260253906
2017-11-21,225.97972106933594
2017-11-22,225.05413818359375
2017-11-23,229.6357421875
2017-11-24,244.25985717773438
2017-11-27,242.36244201660156
2017-11-28,235.46685791015625
2017-11-29,244.0747833251953
2017-11-30,246.01846313476562
2017-12-01,248.10098266601562
2017-12-04,250.83148193359375
2017-12-05,254.30235290527344
2017-12-06,253.8858642578125
2017-12-07,249.62823486328125
2017-12-08,249.35052490234375
2017-12-11,241.71453857421875
2017-12-12,242.03848266601562
2017-12-13,237.59573364257812
2017-12-14,240.51129150390625
2017-12-15,240.0947723388672
2017-12-18,242.50123596191406
2017-12-19,241.29803466796875
2017-12-20,252.21983337402344
2017-12-21,251.8032989501953
2017-12-22,248.42494201660156
2017-12-26,248.56378173828125
2017-12-27,250.5537872314453
2017-12-28,248.19357299804688
2017-12-29,254.99659729003906
2018-01-01,250.4612579345703
2018-01-02,257.1253967285156
2018-01-03,259.3005065917969
2018-01-04,261.8921203613281
2018-01-05,258.2361145019531
2018-01-08,253.5619354248047
2018-01-09,255.55194091796875
2018-01-10,250.36871337890625
2018-01-11,252.3586883544922
2018-01-12,251.98846435546875
2018-01-15,245.97216796875
2018-01-16,254.30235290527344
2018-01-17,249.35052490234375
2018-01-18,245.5093994140625
2018-01-19,243.0103302001953
2018-01-22,241.39056396484375
2018-01-23,244.63011169433594
2018-01-24,232.08853149414062
2018-01-25,219.9171905517578
2018-01-29,223.80462646484375
2018-01-30,224.12857055664062
2018-01-31,230.6075897216797
2018-02-01,234.5413055419922
2018-02-02,227.3680877685547
2018-02-05,235.4206085205078
2018-02-06,224.12857055664062
2018-02-07,224.82272338867188
2018-02-08,224.91529846191406
2018-02-09,226.3036651611328
2018-02-12,220.3336944580078
2018-02-14,217.74208068847656
2018-02-15,214.36370849609375
2018-02-16,210.80026245117188
