,NIFTY AUTO,NIFTY BANK,NIFTY CAPITAL GOODS,NIFTY CEMENT,NIFTY CHEMICALS,NIFTY COMMERCIAL & TRANSPORT SERVICES,NIFTY CONSTRUCTION,NIFTY CONSUMER DURABLES,NIFTY CONSUMER SERVICES,NIFTY FINANCIAL SERVICES,NIFTY FMCG,NIFTY HEALTHCARE,NIFTY HOSPITALS,NIFTY HOUSING FINANCE,NIFTY INSURANCE,NIFTY IT,NIFTY MEDIA,NIFTY METAL,NIFTY NBFC,NIFTY OIL & GAS,NIFTY PHARMA,NIFTY POWER,NIFTY PRIVATE BANK,NIFTY PSU BANK,NIFTY REALTY,NIFTY RETAIL,NIFTY TELECOMMUNICATIONS
NIFTY METAL,-0.009398981731528339,-0.069929058764255,0.09359158008280424,0.11117588752135578,-0.0016657060171884927,0.07362662650818753,0.19136068686914776,-0.023951324780114604,-0.008381670045941685,-0.09783461645206537,-0.2514407540657809,-0.1718486521472391,-0.0910639367982176,0.07914583715629366,-0.07037886495991481,-0.181894122670857,0.04634181562046336,1.0,-0.00015595722942631434,0.05824108638125397,-0.15936263420988364,0.1911302918258451,-0.07098116464773879,0.09074162005929275,0.17392436324099614,-0.0026981139393556478,0.05258319221293876
NIFTY NBFC,0.10149784519325711,0.0387622162291803,0.16004911148399875,0.08290188936631349,0.18097571625567355,0.21743909398679898,0.14917563782851714,0.15505552254905017,0.09529061677134724,0.09411938646373579,-0.07090605415915933,-0.05053839372261726,-0.0629810794456214,0.33320391234357855,0.09603875300984774,-0.19708998008995868,0.11404663943133969,-0.00015595722942631434,1.0,-0.09527644384230513,-0.06833406376197285,0.024236138848885664,0.06414978313905913,0.07660767333532155,0.11794818063060039,0.06002343837933759,-0.013920724133414693
NIFTY OIL & GAS,-0.09510640228452043,-0.226818819949575,0.0044493045602948585,-0.048338615367222094,0.00593168808693088,0.03050303941708487,-0.01894938370280725,-0.06689957292667505,-0.11321705601008716,-0.25982678260552355,-0.08964030386308086,-0.047150263407942844,-0.07854005774618382,-0.047410990522159406,-0.051528371785885874,-0.18423663136100965,-0.0032541565636492755,0.05824108638125397,-0.09527644384230513,1.0,-0.03368042853555782,0.1762721619906573,-0.23195252073490338,-0.0006928750151035975,-0.05772286346463563,-0.0833970806738522,-0.021747802731132113
NIFTY PHARMA,0.0695115714996209,-0.31943812225545315,-0.005908336902453945,-0.022561243504326766,0.21161667957420086,0.05185745917299325,-0.2631711367591764,0.07846007436511418,0.017292768590160473,-0.34872557353714134,0.317425094767147,0.977987082142044,0.33783359686098946,-0.12923818666968398,-0.04293841886044028,0.14866734126581654,0.06986374574831497,-0.15936263420988364,-0.06833406376197285,-0.03368042853555782,1.0,-0.06317521064694413,-0.2977959697504544,-0.1936744696461708,-0.2563348107216664,0.010935823037465703,0.025781798262764867
NIFTY POWER,-0.09972804469189285,-0.11157850374865183,0.22855679807761503,0.09567173811702716,0.0823624640685068,0.2126661778329295,0.2568697137548734,0.021991057939825774,0.008406705207351359,-0.1462175906377828,-0.14198455269795598,-0.059130765077121054,-0.02535075544139761,0.09672482058230393,-0.0735872495974874,-0.2573438356378282,0.09994873316787845,0.1911302918258451,0.024236138848885664,0.1762721619906573,-0.06317521064694413,1.0,-0.1294355038419566,0.14970303727688575,0.15886479601263345,0.045845204425257344,0.07669787972614076
NIFTY PRIVATE BANK,-0.09709447456789393,0.8749960055036751,-0.12135533990206707,-0.09743352158229986,-0.1961252067074922,-0.13770192705817838,0.09617547349202517,-0.16169689143006116,-0.22241953752191815,0.8189016299977822,-0.26295170724378625,-0.3181827283579802,-0.16232273943639453,0.17305133657802307,0.0269546963484882,-0.2541655040844562,-0.11333076322255696,-0.07098116464773879,0.06414978313905913,-0.23195252073490338,-0.2977959697504544,-0.1294355038419566,1.0,0.2769873757459361,0.1419658994934355,-0.1557253242774349,-0.13159895790340695
NIFTY PSU BANK,-0.017713355116167746,0.541517574794433,0.11524043912518325,0.04714720867076885,-0.05452089704879912,0.07067370618546548,0.2388440484794654,-0.0898865824515629,-0.07976585932120903,0.38223761816051005,-0.22687126743764371,-0.20533740177675933,-0.19296449800016593,0.27368965956215624,-0.03105994241270089,-0.29908658156539536,0.05890411328620243,0.09074162005929275,0.07660767333532155,-0.0006928750151035975,-0.1936744696461708,0.14970303727688575,0.2769873757459361,1.0,0.17757219413951789,-0.027361630271864917,-0.0026023050292944155
NIFTY REALTY,-0.062274584814158075,0.13031133406177295,0.1768967346577938,0.12873327847639127,-0.015203683018099401,0.1380291734402849,0.7417432073097078,0.0536213651650184,0.18135583962927856,0.11913338563576864,-0.30483081367614595,-0.2551082944165683,-0.04149620289852023,0.25215103165204483,0.025641370694038813,-0.27212524697841906,0.09283652225526122,0.17392436324099614,0.11794818063060039,-0.05772286346463563,-0.2563348107216664,0.15886479601263345,0.1419658994934355,0.17757219413951789,1.0,0.14415903371168093,0.05990078039842655
NIFTY RETAIL,0.05087812594009885,-0.17317160515273042,0.16300328277101922,0.027407941050235522,0.18906704061765248,0.1809233229320456,0.12005868704142245,0.2382053181113573,0.8363450963926723,-0.17685095611275367,0.020748575550477218,0.041102071322224334,0.07476580498069116,0.06787532089481586,0.0024541883574617416,-0.024155348747530284,0.0943021551603446,-0.0026981139393556478,0.06002343837933759,-0.0833970806738522,0.010935823037465703,0.045845204425257344,-0.1557253242774349,-0.027361630271864917,0.14415903371168093,1.0,0.06677382005071733
NIFTY TELECOMMUNICATIONS,-0.04236105882601794,-0.14856878397948245,0.09844014607118051,0.037717092954973226,0.0316408361739841,0.07421248354089127,0.08381974736921852,0.01249554702110083,0.14088423856904062,-0.17728393240163084,-0.0688328616371172,0.025191281626633758,-0.02647923693624929,0.07562938816414469,0.012471830363017297,-0.004996883788449871,0.08840580128102472,0.05258319221293876,-0.013920724133414693,-0.021747802731132113,0.025781798262764867,0.07669787972614076,-0.13159895790340695,-0.0026023050292944155,0.05990078039842655,0.06677382005071733,1.0
