universe,signal,slots,holding_days,queue_policy,eligible_trades,taken_trades,cagr_pct,bench_cagr_pct,excess_cagr_pct,sharpe,max_dd_pct,win_rate_pct,profit_factor
Non_Financials,Q5_only,30,40,SUE_RANK,569,289,17.48,15.08,2.4,1.214,-14.95,58.1,2.18
Non_Financials,Q5_only,30,60,FIFO,569,279,26.81,15.5,11.31,1.596,-20.32,62.4,2.91
Non_Financials,Q5_only,30,60,SUE_RANK,569,279,26.81,15.5,11.31,1.596,-20.32,62.4,2.91
Non_Financials,Q5_only,30,90,FIFO,569,156,15.51,15.57,-0.06,1.16,-15.02,64.7,2.68
Non_Financials,Q5_only,30,90,SUE_RANK,569,156,15.51,15.57,-0.06,1.16,-15.02,64.7,2.68
Non_Financials,Q4_Q5,10,20,FIFO,1109,158,9.66,14.69,-5.03,0.782,-23.97,55.7,1.53
Non_Financials,Q4_Q5,10,20,SUE_RANK,1109,158,9.66,14.69,-5.03,0.782,-23.97,55.7,1.53
Non_Financials,Q4_Q5,10,40,FIFO,1109,100,12.71,13.7,-0.99,0.847,-23.92,59.0,1.89
Non_Financials,Q4_Q5,10,40,SUE_RANK,1109,100,12.71,13.7,-0.99,0.847,-23.92,59.0,1.89
Non_Financials,Q4_Q5,10,60,FIFO,1109,100,19.88,14.19,5.7,1.083,-27.51,61.0,2.1
Non_Financials,Q4_Q5,10,60,SUE_RANK,1109,100,19.88,14.19,5.7,1.083,-27.51,61.0,2.1
Non_Financials,Q4_Q5,10,90,FIFO,1109,60,15.68,16.17,-0.49,0.997,-23.63,65.0,2.37
Non_Financials,Q4_Q5,10,90,SUE_RANK,1109,60,15.68,16.17,-0.49,0.997,-23.63,65.0,2.37
Non_Financials,Q4_Q5,20,20,FIFO,1109,278,10.89,14.69,-3.8,0.966,-22.82,57.6,1.69
Non_Financials,Q4_Q5,20,20,SUE_RANK,1109,278,10.89,14.69,-3.8,0.966,-22.82,57.6,1.69
Non_Financials,Q4_Q5,20,40,FIFO,1109,200,17.29,14.36,2.93,1.198,-17.03,60.5,2.23
Non_Financials,Q4_Q5,20,40,SUE_RANK,1109,200,17.29,14.36,2.93,1.198,-17.03,60.5,2.23
Non_Financials,Q4_Q5,20,60,FIFO,1109,200,25.12,15.29,9.83,1.367,-25.14,59.5,2.49
Non_Financials,Q4_Q5,20,60,SUE_RANK,1109,200,25.12,15.29,9.83,1.367,-25.14,59.5,2.49
Non_Financials,Q4_Q5,20,90,FIFO,1109,110,18.03,16.17,1.86,1.243,-17.08,65.5,3.09
Non_Financials,Q4_Q5,20,90,SUE_RANK,1109,110,18.03,16.17,1.86,1.243,-17.08,65.5,3.09
Non_Financials,Q4_Q5,30,20,FIFO,1109,391,7.84,14.69,-6.85,0.752,-24.05,54.7,1.49
Non_Financials,Q4_Q5,30,20,SUE_RANK,1109,391,7.84,14.69,-6.85,0.752,-24.05,54.7,1.49
Non_Financials,Q4_Q5,30,40,FIFO,1109,300,18.1,15.12,2.97,1.282,-15.81,59.3,2.21
Non_Financials,Q4_Q5,30,40,SUE_RANK,1109,300,18.1,15.12,2.97,1.282,-15.81,59.3,2.21
Non_Financials,Q4_Q5,30,60,FIFO,1109,297,25.06,14.95,10.11,1.471,-21.37,57.9,2.54
Non_Financials,Q4_Q5,30,60,SUE_RANK,1109,297,25.06,14.95,10.11,1.471,-21.37,57.9,2.54
Non_Financials,Q4_Q5,30,90,FIFO,1109,160,18.39,16.17,2.22,1.303,-14.57,63.7,3.18
Non_Financials,Q4_Q5,30,90,SUE_RANK,1109,160,18.39,16.17,2.22,1.303,-14.57,63.7,3.18
