symbol,company,industry,filing_date,call_date,url,engine,split,n_words,mood_remarks,mood_qna,mood_all,n_sent_rem,n_sent_qa,rem_lm_negative,rem_lm_negative_p1k,rem_lm_positive,rem_lm_positive_p1k,rem_lm_uncertainty,rem_lm_uncertainty_p1k,rem_lm_litigious,rem_lm_litigious_p1k,rem_lm_constraining,rem_lm_constraining_p1k,rem_lm_strong_modal,rem_lm_strong_modal_p1k,rem_lm_weak_modal,rem_lm_weak_modal_p1k,rem_th_positive_guidance,rem_th_positive_guidance_p1k,rem_th_negative_caution,rem_th_negative_caution_p1k,rem_th_hedging_evasion,rem_th_hedging_evasion_p1k,rem_th_capital_actions,rem_th_capital_actions_p1k,rem_n_words,qa_lm_negative,qa_lm_negative_p1k,qa_lm_positive,qa_lm_positive_p1k,qa_lm_uncertainty,qa_lm_uncertainty_p1k,qa_lm_litigious,qa_lm_litigious_p1k,qa_lm_constraining,qa_lm_constraining_p1k,qa_lm_strong_modal,qa_lm_strong_modal_p1k,qa_lm_weak_modal,qa_lm_weak_modal_p1k,qa_th_positive_guidance,qa_th_positive_guidance_p1k,qa_th_negative_caution,qa_th_negative_caution_p1k,qa_th_hedging_evasion,qa_th_hedging_evasion_p1k,qa_th_capital_actions,qa_th_capital_actions_p1k,qa_n_words
CCAVENUE,AvenuesAI Limited,,2023-08-11,,https://nsearchives.nseindia.com/corporate/INFIBEAM_11082023125909_IALTranscript.pdf,pdfplumber,split,8361,0.4133333333333333,0.0933333333333333,0.2533333333333333,75,75,5,1.904036557501904,57,21.706016755521706,9,3.427265803503427,2,0.7616146230007617,22,8.377760853008377,36,13.709063214013709,3,1.1424219345011424,0,0.0,0,0.0,0,0.0,0,0.0,2626,13.0,2.331002331002331,54.0,9.682625067240451,22.0,3.944773175542408,19.0,3.4068495606957145,18.0,3.2275416890801507,55.0,9.861932938856016,13.0,2.331002331002331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5577.0
CLEAN,Clean Science and Technology Limited,,2024-08-03,2024-07-18,https://nsearchives.nseindia.com/corporate/CLEAN_03082024182729_Intimation_earnings_con_call_03_08_2024.pdf,pdfplumber,whole,6488,0.08,,0.08,75,0,10,1.6168148746968471,78,12.611156022635408,49,7.922392886014551,5,0.8084074373484236,28,4.527081649151172,54,8.730800323362974,20,3.2336297493936943,2,0.3233629749393694,1,0.1616814874696847,0,0.0,26,4.203718674211803,6185,,,,,,,,,,,,,,,,,,,,,,,
CENTRALBK,Central Bank of India,Banks,2024-07-24,2024-07-24,https://nsearchives.nseindia.com/corporate/CENTRALBK_24072024143952_Final_SE_ConferenceTranscript.pdf,pdfplumber,split,7705,0.0454545454545454,0.2533333333333333,0.2061855670103092,22,75,1,2.155172413793104,4,8.620689655172415,0,0.0,3,6.465517241379311,2,4.310344827586207,4,8.620689655172415,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,464,38.0,5.43012289225493,106.0,15.147184909974278,33.0,4.715633038010861,5.0,0.7144898542440697,9.0,1.2860817376393254,56.0,8.00228636753358,23.0,3.286653329522721,0.0,0.0,1.0,0.1428979708488139,1.0,0.1428979708488139,0.0,0.0,6998.0
SBCL,Shivalik Bimetal Controls Limited,,2023-05-25,2023-05-25,https://nsearchives.nseindia.com/corporate/SBCL_25052023181552_Reg30Transcript.pdf,pdfplumber,whole,7745,0.0666666666666666,,0.0666666666666666,75,0,25,3.2821320729946173,85,11.1592490481817,68,8.927399238545359,5,0.6564264145989235,40,5.251411316791388,58,7.614546409347512,43,5.645267165550742,0,0.0,0,0.0,0,0.0,6,0.7877116975187082,7617,,,,,,,,,,,,,,,,,,,,,,,
CUPID,Cupid Limited,,2023-11-16,2023-11-16,https://nsearchives.nseindia.com/corporate/CUPID_16112023174715_Q2FY24_Concall_Transcript.pdf,pdfplumber,split,7848,0.0689655172413793,0.2,0.1634615384615384,29,75,1,2.331002331002331,2,4.662004662004662,0,0.0,0,0.0,11,25.64102564102564,4,9.324009324009324,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,429,14.0,1.9286403085824493,82.0,11.29632180741149,28.0,3.8572806171648986,5.0,0.6888001102080177,30.0,4.132800661248106,93.0,12.811682049869129,17.0,2.34192037470726,13.0,1.7908802865408455,0.0,0.0,0.0,0.0,3.0,0.4132800661248105,7259.0
MMFL,MM Forgings Limited,Castings/Forgings,2024-06-05,2024-06-05,https://nsearchives.nseindia.com/corporate/MMFL_05062024105308_Transcript.pdf,pymupdf,split,7427,0.0,0.16,0.1212121212121212,24,75,0,0.0,2,5.076142131979696,1,2.538071065989848,2,5.076142131979696,13,32.994923857868024,2,5.076142131979696,1,2.538071065989848,0,0.0,0,0.0,0,0.0,0,0.0,394,23.0,3.3493519732051844,103.0,14.999271880005823,36.0,5.242463958060289,1.0,0.145623998835008,29.0,4.223095966215232,55.0,8.00931993592544,27.0,3.931847968545216,4.0,0.582495995340032,1.0,0.145623998835008,1.0,0.145623998835008,9.0,1.3106159895150722,6867.0
TANLA,Tanla Platforms Limited,Computers - Software,2023-06-14,,https://nsearchives.nseindia.com/corporate/TANLA_14062023150600_Transcript_to_SEs_Final.pdf,pymupdf,split,5544,0.2266666666666666,0.1466666666666666,0.1866666666666666,75,75,3,1.9023462270133165,21,13.316423589093215,5,3.170577045022194,2,1.2682308180088775,10,6.341154090044388,13,8.243500317057704,2,1.2682308180088775,1,0.6341154090044389,0,0.0,0,0.0,0,0.0,1577,5.0,1.3003901170351104,42.0,10.923276983094928,35.0,9.102730819245776,0.0,0.0,3.0,0.7802340702210663,30.0,7.802340702210663,19.0,4.9414824447334205,1.0,0.2600780234070221,0.0,0.0,0.0,0.0,0.0,0.0,3845.0
NETWEB,Netweb Technologies India Limited,,2023-08-21,2023-08-14,https://nsearchives.nseindia.com/corporate/NETWEB_21082023132046_Transcript.pdf,pymupdf,split,9722,0.3333333333333333,0.12,0.2266666666666666,75,75,7,4.635761589403973,38,25.165562913907284,2,1.3245033112582782,3,1.9867549668874167,15,9.933774834437086,8,5.298013245033113,1,0.6622516556291391,0,0.0,0,0.0,0,0.0,0,0.0,1510,25.0,3.0871820202519142,62.0,7.656211410224746,39.0,4.816003951592986,1.0,0.1234872808100765,16.0,1.975796492961225,94.0,11.607804396147197,21.0,2.593232897011608,8.0,0.9878982464806124,2.0,0.2469745616201531,0.0,0.0,4.0,0.4939491232403062,8098.0
SAGCEM,Sagar Cements Limited,Cement And Cement Products,2023-10-25,2023-10-25,https://nsearchives.nseindia.com/corporate/SAGCEM_25102023162815_SclNsEBsEConcallTranscript25102023.pdf,pymupdf,split,8632,0.0,0.1866666666666666,0.1573033707865168,14,75,0,0.0,1,2.865329512893983,0,0.0,3,8.595988538681949,5,14.326647564469914,2,5.730659025787966,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,349,28.0,3.524672708962739,60.0,7.552870090634441,78.0,9.818731117824774,6.0,0.7552870090634441,37.0,4.657603222557905,46.0,5.790533736153072,43.0,5.41289023162135,7.0,0.8811681772406847,3.0,0.3776435045317221,2.0,0.2517623363544813,22.0,2.769385699899295,7944.0
SBICARD,SBI Cards and Payment Services Limited,,2022-05-05,2022-04-29,https://nsearchives.nseindia.com/corporate/SBICARD_05052022185208_DisclosureTranscript.pdf,pymupdf,split,10550,0.4788732394366197,0.1333333333333333,0.3013698630136986,71,75,2,1.45985401459854,44,32.11678832116788,4,2.9197080291970803,5,3.6496350364963503,13,9.489051094890511,5,3.6496350364963503,2,1.45985401459854,0,0.0,0,0.0,0,0.0,0,0.0,1370,25.0,2.787378749024417,95.0,10.592039246292789,50.0,5.574757498048835,3.0,0.3344854498829301,22.0,2.452893299141487,91.0,10.14605864644888,26.0,2.898873898985394,0.0,0.0,2.0,0.2229902999219534,1.0,0.1114951499609767,0.0,0.0,8969.0
