phase,test_id,hypothesis,sample,start_date,end_date,universe,signal_definition,bucket,size_group,sector_group,filing_group,holding_period,portfolio_size,gross_return,benchmark_return,excess_return,net_return,cost,volatility,sharpe,max_drawdown,win_rate,trade_count,positive_fold_pct,best_fold,worst_fold,best_fold_removed,status,notes
08_backtest,PORT_NON_Q5_only_30S_90D_SUE,"Tradeable portfolio with 30 slots, 90d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,90d,30,11.12,10.83,-0.29,10.54,0.585,13.44,0.819,-19.75,56.1,310,,N/A,N/A,,UNDERPERFORMED,"Queue: SUE_RANK, Capacity: 26.4%"
08_backtest,PORT_NON_Q4_Q5_10S_20D_FIF,"Tradeable portfolio with 10 slots, 20d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,20d,10,9.66,9.93,-0.85,9.08,0.585,14.04,0.695,-23.97,56.2,349,,N/A,N/A,,UNDERPERFORMED,"Queue: FIFO, Capacity: 13.6%"
08_backtest,PORT_NON_Q4_Q5_10S_20D_SUE,"Tradeable portfolio with 10 slots, 20d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,20d,10,9.66,9.93,-0.85,9.08,0.585,14.04,0.695,-23.97,56.2,349,,N/A,N/A,,UNDERPERFORMED,"Queue: SUE_RANK, Capacity: 13.6%"
08_backtest,PORT_NON_Q4_Q5_10S_40D_FIF,"Tradeable portfolio with 10 slots, 40d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,40d,10,5.43,9.98,-5.13,4.85,0.585,14.82,0.396,-23.92,50.5,210,,N/A,N/A,,UNDERPERFORMED,"Queue: FIFO, Capacity: 8.6%"
08_backtest,PORT_NON_Q4_Q5_10S_40D_SUE,"Tradeable portfolio with 10 slots, 40d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,40d,10,5.43,9.98,-5.13,4.85,0.585,14.82,0.396,-23.92,50.5,210,,N/A,N/A,,UNDERPERFORMED,"Queue: SUE_RANK, Capacity: 8.6%"
08_backtest,PORT_NON_Q4_Q5_10S_60D_FIF,"Tradeable portfolio with 10 slots, 60d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,60d,10,15.64,11.1,3.96,15.06,0.585,18.44,0.86,-27.9,55.5,200,,N/A,N/A,,VALIDATED,"Queue: FIFO, Capacity: 8.3%"
08_backtest,PORT_NON_Q4_Q5_10S_60D_SUE,"Tradeable portfolio with 10 slots, 60d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,60d,10,15.64,11.1,3.96,15.06,0.585,18.44,0.86,-27.9,55.5,200,,N/A,N/A,,VALIDATED,"Queue: SUE_RANK, Capacity: 8.3%"
08_backtest,PORT_NON_Q4_Q5_10S_90D_FIF,"Tradeable portfolio with 10 slots, 90d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,90d,10,12.21,11.13,0.5,11.63,0.585,15.99,0.773,-23.63,56.9,116,,N/A,N/A,,VALIDATED,"Queue: FIFO, Capacity: 4.9%"
08_backtest,PORT_NON_Q4_Q5_10S_90D_SUE,"Tradeable portfolio with 10 slots, 90d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,90d,10,12.21,11.13,0.5,11.63,0.585,15.99,0.773,-23.63,56.9,116,,N/A,N/A,,VALIDATED,"Queue: SUE_RANK, Capacity: 4.9%"
08_backtest,PORT_NON_Q4_Q5_20S_20D_FIF,"Tradeable portfolio with 20 slots, 20d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,20d,20,8.14,9.93,-2.37,7.56,0.585,12.04,0.67,-22.82,55.0,616,,N/A,N/A,,UNDERPERFORMED,"Queue: FIFO, Capacity: 24.1%"
08_backtest,PORT_NON_Q4_Q5_20S_20D_SUE,"Tradeable portfolio with 20 slots, 20d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,20d,20,8.14,9.93,-2.37,7.56,0.585,12.04,0.67,-22.82,55.0,616,,N/A,N/A,,UNDERPERFORMED,"Queue: SUE_RANK, Capacity: 24.1%"
08_backtest,PORT_NON_Q4_Q5_20S_40D_FIF,"Tradeable portfolio with 20 slots, 40d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,40d,20,6.22,10.26,-4.62,5.64,0.585,13.68,0.472,-23.79,51.2,420,,N/A,N/A,,UNDERPERFORMED,"Queue: FIFO, Capacity: 17.1%"
08_backtest,PORT_NON_Q4_Q5_20S_40D_SUE,"Tradeable portfolio with 20 slots, 40d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,40d,20,6.22,10.26,-4.62,5.64,0.585,13.68,0.472,-23.79,51.2,420,,N/A,N/A,,UNDERPERFORMED,"Queue: SUE_RANK, Capacity: 17.1%"
08_backtest,PORT_NON_Q4_Q5_20S_60D_FIF,"Tradeable portfolio with 20 slots, 60d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,60d,20,14.93,10.74,3.61,14.35,0.585,17.58,0.857,-26.6,53.2,400,,N/A,N/A,,VALIDATED,"Queue: FIFO, Capacity: 16.6%"
08_backtest,PORT_NON_Q4_Q5_20S_60D_SUE,"Tradeable portfolio with 20 slots, 60d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,60d,20,14.93,10.74,3.61,14.35,0.585,17.58,0.857,-26.6,53.2,400,,N/A,N/A,,VALIDATED,"Queue: SUE_RANK, Capacity: 16.6%"
08_backtest,PORT_NON_Q4_Q5_20S_90D_FIF,"Tradeable portfolio with 20 slots, 90d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,90d,20,12.07,11.03,0.45,11.48,0.585,14.69,0.818,-21.32,55.5,220,,N/A,N/A,,VALIDATED,"Queue: FIFO, Capacity: 9.3%"
08_backtest,PORT_NON_Q4_Q5_20S_90D_SUE,"Tradeable portfolio with 20 slots, 90d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,90d,20,12.07,11.03,0.45,11.48,0.585,14.69,0.818,-21.32,55.5,220,,N/A,N/A,,VALIDATED,"Queue: SUE_RANK, Capacity: 9.3%"
08_backtest,PORT_NON_Q4_Q5_30S_20D_FIF,"Tradeable portfolio with 30 slots, 20d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,20d,30,8.04,9.93,-2.47,7.46,0.585,11.55,0.686,-24.05,54.3,868,,N/A,N/A,,UNDERPERFORMED,"Queue: FIFO, Capacity: 33.9%"
08_backtest,PORT_NON_Q4_Q5_30S_20D_SUE,"Tradeable portfolio with 30 slots, 20d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,20d,30,8.04,9.93,-2.47,7.46,0.585,11.55,0.686,-24.05,54.3,868,,N/A,N/A,,UNDERPERFORMED,"Queue: SUE_RANK, Capacity: 33.9%"
08_backtest,PORT_NON_Q4_Q5_30S_40D_FIF,"Tradeable portfolio with 30 slots, 40d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,40d,30,8.68,10.26,-2.17,8.09,0.585,13.54,0.647,-17.57,52.4,630,,N/A,N/A,,UNDERPERFORMED,"Queue: FIFO, Capacity: 25.7%"
08_backtest,PORT_NON_Q4_Q5_30S_40D_SUE,"Tradeable portfolio with 30 slots, 40d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,40d,30,8.68,10.26,-2.17,8.09,0.585,13.54,0.647,-17.57,52.4,630,,N/A,N/A,,UNDERPERFORMED,"Queue: SUE_RANK, Capacity: 25.7%"
08_backtest,PORT_NON_Q4_Q5_30S_60D_FIF,"Tradeable portfolio with 30 slots, 60d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,60d,30,15.52,10.88,4.07,14.94,0.585,16.95,0.914,-25.88,53.3,597,,N/A,N/A,,VALIDATED,"Queue: FIFO, Capacity: 24.8%"
08_backtest,PORT_NON_Q4_Q5_30S_60D_SUE,"Tradeable portfolio with 30 slots, 60d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,60d,30,15.52,10.88,4.07,14.94,0.585,16.95,0.914,-25.88,53.3,597,,N/A,N/A,,VALIDATED,"Queue: SUE_RANK, Capacity: 24.8%"
08_backtest,PORT_NON_Q4_Q5_30S_90D_FIF,"Tradeable portfolio with 30 slots, 90d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,90d,30,12.39,11.03,0.77,11.8,0.585,14.37,0.853,-19.99,56.6,320,,N/A,N/A,,VALIDATED,"Queue: FIFO, Capacity: 13.6%"
08_backtest,PORT_NON_Q4_Q5_30S_90D_SUE,"Tradeable portfolio with 30 slots, 90d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q4_Q5,Long-Only Top SUE,All,Non_Financials,All,90d,30,12.39,11.03,0.77,11.8,0.585,14.37,0.853,-19.99,56.6,320,,N/A,N/A,,VALIDATED,"Queue: SUE_RANK, Capacity: 13.6%"
