date,year,n_sectors,top,bottom,middle,spread
2008-11-28,2008,22,-0.12476680640062009,0.07706236713898752,0.061780187272547055,-0.2018291735396076
2008-12-31,2008,22,-0.1520742212773258,0.15579441746812914,-0.01629536125804179,-0.30786863874545495
2009-01-30,2009,22,0.021153814214551696,0.19079651112425586,0.008475167546170143,-0.16964269690970415
2009-02-27,2009,22,0.055418084486230236,0.1378963098708577,0.15690808181452084,-0.08247822538462746
2009-03-31,2009,22,0.03422062907980562,0.34494829198756677,0.008139058710910696,-0.31072766290776116
2009-04-29,2009,22,0.2196308605930135,-0.022062412754751164,0.0752421796396181,0.24169327334776466
2009-05-29,2009,22,0.040135167941556124,0.08942732498791535,0.04689617030905943,-0.049292157046359225
2009-06-30,2009,22,0.015609423437496035,0.04006947776634922,0.054404729946600866,-0.024460054328853183
2009-07-31,2009,22,0.00027992576202056404,-0.005024030654606294,0.0628665536820435,0.005303956416626858
2009-08-31,2009,22,-0.016107053016957886,-0.036150911142483415,0.10703210812631023,0.02004385812552553
2009-09-30,2009,22,0.017234682332955536,-0.010968204213430002,0.011246186801428124,0.028202886546385537
2009-10-30,2009,22,0.044859984972622766,-0.030229467495272395,0.036929055938252714,0.07508945246789517
2009-11-30,2009,22,0.020112918450056378,0.002853854401595262,0.09924209941428937,0.017259064048461115
2009-12-31,2009,22,0.09113595178985393,-0.011890874753905838,0.05320869784253886,0.10302682654375976
2010-01-29,2010,22,0.01890510100993657,0.02272343868342221,0.0704691203939585,-0.0038183376734856403
2010-02-26,2010,22,0.03149718817710651,0.04409522802854477,0.026347110135541515,-0.012598039851438259
2010-03-31,2010,22,0.0003826720030812858,0.05833367840926645,0.037991708645598796,-0.05795100640618516
2010-04-30,2010,22,0.10248319522863183,-0.01103917656253742,-0.015408892330888838,0.11352237179116925
2010-05-31,2010,22,0.08300389586294805,0.02329812118937851,0.04311260673952608,0.059705774673569544
2010-06-30,2010,22,0.026385049371909903,0.042237609125730824,0.05747509459194167,-0.01585255975382092
2010-07-30,2010,22,0.06699786667325089,0.0030622773599499214,-0.055024770989556784,0.06393558931330097
2010-08-31,2010,22,-0.05534177222009714,0.06422319552939636,-0.06249775656196142,-0.11956496774949349
