date,NIFTY CONSUMER SERVICES
2021-10-08,2407.94
2021-10-11,2451.04
2021-10-12,2491.63
2021-10-13,2601.59
2021-10-14,2625.47
2021-10-18,2573.64
2021-10-19,2506.18
2021-10-20,2447.21
2021-10-21,2406.65
2021-10-22,2326.55
2021-10-25,2259.78
2021-10-26,2308.95
2021-10-27,2337.35
2021-10-28,2302.91
2021-10-29,2290.46
2021-11-01,2327.9
2021-11-02,2331.55
2021-11-03,2355.85
2021-11-04,2390.22
2021-11-08,2398.83
2021-11-09,2430.26
2021-11-10,2445.04
2021-11-11,2450.08
2021-11-12,2494.78
2021-11-15,2485.13
2021-11-16,2513.13
2021-11-17,2495.28
2021-11-18,2458.19
2021-11-22,2358.76
2021-11-23,2373.78
2021-11-24,2366.85
2021-11-25,2371.58
2021-11-26,2273.39
2021-11-29,2237.79
2021-11-30,2246.95
2021-12-01,2267.48
2021-12-02,2284.17
2021-12-03,2288.2
2021-12-06,2223.76
2021-12-07,2265.37
2021-12-08,2314.36
2021-12-09,2323.69
2021-12-10,2314.99
2021-12-13,2294.08
2021-12-14,2291.48
2021-12-15,2285.98
2021-12-16,2274.07
2021-12-17,2235.26
2021-12-20,2152.48
2021-12-21,2161.99
2021-12-22,2194.76
2021-12-23,2208.39
2021-12-24,2183.87
2021-12-27,2201.65
2021-12-28,2212.94
2021-12-29,2207.75
2021-12-30,2187.31
2021-12-31,2232.57
2022-01-03,2248.76
2022-01-04,2251.75
2022-01-05,2251.12
2022-01-06,2255.35
2022-01-07,2284.71
2022-01-10,2277.84
2022-01-11,2291.26
2022-01-12,2310.86
2022-01-13,2317.71
2022-01-14,2332.49
2022-01-17,2334.88
2022-01-18,2289.48
2022-01-19,2268.11
2022-01-20,2267.02
2022-01-21,2221.57
2022-01-24,2102.74
2022-01-25,2090.24
2022-01-27,2034.02
2022-01-28,2055.92
2022-01-31,2128.87
2022-02-01,2176.61
2022-02-02,2185.79
2022-02-03,2151.82
2022-02-04,2118.9
2022-02-07,2099.94
2022-02-08,2094.21
2022-02-09,2115.21
2022-02-10,2126.83
2022-02-11,2072.09
2022-02-14,1991.42
2022-02-15,2076.73
2022-02-16,2053.02
2022-02-17,2053.28
2022-02-18,2021.5
2022-02-21,2013.3
2022-02-22,2013.83
2022-02-23,2025.42
2022-02-24,1936.27
2022-02-25,2014.99
2022-02-28,2035.28
2022-03-02,2034.45
2022-03-03,2034.98
2022-03-04,1959.06
2022-03-07,1912.33
2022-03-08,1954.12
2022-03-09,2024.11
2022-03-10,2040.39
2022-03-11,2060.66
2022-03-14,2020.75
2022-03-15,2008.3
2022-03-16,2031.35
2022-03-17,2071.12
2022-03-21,2073.42
2022-03-22,2093.57
2022-03-23,2100.76
2022-03-24,2086.03
2022-03-25,2087.02
2022-03-28,2098.24
2022-03-29,2112.78
2022-03-30,2112.55
2022-03-31,2108.64
2022-04-01,2139.27
2022-04-04,2169.05
2022-04-05,2185.39
2022-04-06,2199.19
2022-04-07,2191.27
2022-04-08,2197.73
2022-04-11,2202.43
2022-04-12,2162.73
2022-04-13,2165.02
2022-04-18,2144.82
2022-04-19,2120.2
2022-04-20,2126.86
2022-04-21,2154.33
2022-04-22,2144.69
2022-04-25,2081.02
2022-04-26,2105.85
2022-04-27,2069.43
2022-04-28,2103.68
2022-04-29,2097.58
2022-05-02,2089.48
2022-05-04,2018.73
2022-05-05,1999.01
2022-05-06,1916.37
2022-05-09,1855.94
2022-05-10,1796.07
2022-05-11,1767.13
2022-05-12,1725.9
2022-05-13,1740.43
2022-05-16,1807.28
2022-05-17,1853.46
2022-05-18,1849.52
2022-05-19,1795.94
2022-05-20,1831.29
2022-05-23,1827.4
2022-05-24,1830.9
2022-05-25,1776.51
2022-05-26,1799.11
2022-05-27,1837.34
2022-05-30,1926.55
2022-05-31,1971.64
2022-06-01,1959.09
2022-06-02,1943.22
2022-06-03,1925.86
2022-06-06,1881.86
2022-06-07,1860.5
2022-06-08,1861.21
2022-06-09,1879.53
2022-06-10,1866.47
2022-06-13,1823.75
2022-06-14,1820.9
2022-06-15,1837.31
2022-06-16,1804.46
2022-06-17,1761.36
2022-06-20,1753.61
2022-06-21,1789.74
2022-06-22,1764.86
2022-06-23,1795.27
2022-06-24,1822.27
2022-06-27,1821.55
2022-06-28,1822.85
2022-06-29,1807.94
2022-06-30,1781.8
2022-07-01,1793.89
2022-07-04,1829.69
2022-07-05,1850.98
2022-07-06,1886.89
2022-07-07,1913.07
2022-07-08,1934.64
2022-07-11,1949.43
2022-07-12,1926.0
2022-07-13,1933.91
2022-07-14,1915.25
2022-07-15,1924.98
2022-07-18,1941.76
2022-07-19,1952.94
2022-07-20,1959.79
2022-07-21,1984.7
2022-07-22,1978.38
2022-07-25,1972.37
2022-07-26,1934.2
2022-07-27,1955.55
2022-07-28,1993.31
2022-07-29,2029.39
2022-08-01,2064.08
2022-08-02,2080.71
2022-08-03,2078.5
2022-08-04,2075.84
2022-08-05,2079.98
2022-08-08,2078.09
2022-08-10,2071.72
2022-08-11,2115.43
2022-08-12,2126.95
2022-08-16,2151.18
2022-08-17,2178.56
2022-08-18,2184.9
2022-08-19,2138.28
2022-08-22,2072.03
2022-08-23,2097.25
2022-08-24,2112.87
2022-08-25,2131.84
2022-08-26,2153.53
2022-08-29,2126.92
2022-08-30,2174.86
2022-09-01,2188.73
2022-09-02,2188.39
2022-09-05,2200.07
2022-09-06,2192.45
2022-09-07,2201.09
2022-09-08,2200.72
2022-09-09,2201.0
2022-09-12,2223.48
2022-09-13,2252.05
2022-09-14,2241.15
2022-09-15,2259.21
2022-09-16,2208.95
2022-09-19,2191.58
2022-09-20,2212.33
2022-09-21,2215.56
2022-09-22,2243.56
2022-09-23,2194.36
2022-09-26,2141.35
2022-09-27,2157.62
2022-09-28,2157.32
2022-09-29,2163.13
2022-09-30,2200.15
2022-10-03,2197.08
2022-10-04,2240.68
2022-10-06,2247.85
2022-10-07,2255.95
2022-10-10,2234.67
2022-10-11,2197.21
2022-10-12,2189.29
2022-10-13,2160.36
2022-10-14,2145.56
2022-10-17,2142.16
2022-10-18,2168.29
2022-10-19,2172.67
2022-10-20,2173.51
2022-10-21,2160.76
2022-10-24,2174.99
2022-10-25,2175.21
2022-10-27,2194.39
