date,NIFTY CONSUMER DURABLES
2007-10-30,3223.83
2007-10-31,3231.86
2007-11-01,3168.28
2007-11-02,3171.6
2007-11-05,3185.02
2007-11-06,3171.92
2007-11-07,3181.59
2007-11-08,3146.61
2007-11-09,3151.63
2007-11-12,3115.42
2007-11-13,3148.92
2007-11-14,3157.07
2007-11-15,3126.47
2007-11-16,3240.79
2007-11-19,3362.83
2007-11-20,3340.49
2007-11-21,3186.32
2007-11-22,3117.85
2007-11-23,3180.94
2007-11-26,3226.77
2007-11-27,3218.86
2007-11-28,3223.89
2007-11-29,3269.13
2007-11-30,3309.4
2007-12-03,3548.04
2007-12-04,3786.4
2007-12-05,3909.82
2007-12-06,3793.17
2007-12-07,3727.2
2007-12-10,3820.02
2007-12-11,3809.72
2007-12-12,3878.13
2007-12-13,3850.48
2007-12-14,3959.83
2007-12-17,3797.03
2007-12-18,3816.7
2007-12-19,3841.64
2007-12-20,3839.07
2007-12-24,3874.31
2007-12-26,3914.94
2007-12-27,3998.55
2007-12-28,4217.62
2007-12-31,4456.52
2008-01-01,4425.1
2008-01-02,4428.76
2008-01-03,4349.81
2008-01-04,4335.88
2008-01-07,4327.29
2008-01-08,4192.73
2008-01-09,4198.51
2008-01-10,4032.36
2008-01-11,3961.2
2008-01-14,3924.11
2008-01-15,3899.03
2008-01-16,3849.92
2008-01-17,3884.23
2008-01-18,3743.25
2008-01-21,3433.64
2008-01-22,3095.16
2008-01-23,3283.0
2008-01-24,3153.66
2008-01-25,3352.11
2008-01-28,3316.85
2008-01-29,3324.02
2008-01-30,3224.7
2008-01-31,3200.07
2008-02-01,3213.92
2008-02-04,3236.02
2008-02-05,3252.35
2008-02-06,3117.03
2008-02-07,3079.64
2008-02-08,2989.05
2008-02-11,2849.41
2008-02-12,2773.27
2008-02-13,2742.87
2008-02-14,2910.71
2008-02-15,2970.83
2008-02-18,2988.16
2008-02-19,3054.05
2008-02-20,2989.5
2008-02-21,3047.43
2008-02-22,3039.16
2008-02-25,3022.2
2008-02-26,3035.37
2008-02-27,3023.56
2008-02-28,3002.39
2008-02-29,2964.47
2008-03-03,2811.26
2008-03-04,2757.91
2008-03-05,2758.48
2008-03-07,2640.47
2008-03-10,2555.61
2008-03-11,2636.56
2008-03-12,2590.38
2008-03-13,2429.75
2008-03-14,2502.16
2008-03-17,2248.57
2008-03-18,2250.46
2008-03-19,2227.4
2008-03-24,2154.31
2008-03-25,2329.1
2008-03-26,2377.81
2008-03-27,2396.14
2008-03-28,2509.15
2008-03-31,2434.77
2008-04-01,2450.08
2008-04-02,2473.58
2008-04-03,2430.79
2008-04-04,2397.76
2008-04-07,2444.92
2008-04-08,2463.27
2008-04-09,2489.35
2008-04-10,2495.41
2008-04-11,2515.84
2008-04-15,2567.97
2008-04-16,2585.55
2008-04-17,2634.57
2008-04-21,2739.77
2008-04-22,2785.24
2008-04-23,2750.35
2008-04-24,2745.85
2008-04-25,2748.28
2008-04-28,2798.1
2008-04-29,2874.23
2008-04-30,2850.22
2008-05-02,2864.55
2008-05-05,2820.83
2008-05-06,2780.08
2008-05-07,2754.47
2008-05-08,2761.37
2008-05-09,2709.08
2008-05-12,2692.52
2008-05-13,2730.75
2008-05-14,2791.6
2008-05-15,2821.07
2008-05-16,2826.56
2008-05-20,2918.45
2008-05-21,2914.55
2008-05-22,2870.98
2008-05-23,2834.91
2008-05-26,2771.41
2008-05-27,2729.44
2008-05-28,2736.55
2008-05-29,2698.29
2008-05-30,2686.82
2008-06-02,2610.15
2008-06-03,2615.95
2008-06-04,2535.18
2008-06-05,2498.68
2008-06-06,2478.58
2008-06-09,2418.21
2008-06-10,2371.7
2008-06-11,2378.77
2008-06-12,2425.68
2008-06-13,2447.57
2008-06-16,2443.66
2008-06-17,2483.38
2008-06-18,2481.28
2008-06-19,2427.55
2008-06-20,2358.77
2008-06-23,2297.76
2008-06-24,2262.72
2008-06-25,2297.8
2008-06-26,2300.87
2008-06-27,2221.85
2008-06-30,2131.06
2008-07-01,2042.44
2008-07-02,2162.66
2008-07-03,2132.13
2008-07-04,2182.36
2008-07-07,2201.33
2008-07-08,2168.28
2008-07-09,2235.84
2008-07-10,2239.5
2008-07-11,2200.03
2008-07-14,2198.15
2008-07-15,2129.9
2008-07-16,2092.34
2008-07-17,2112.06
2008-07-18,2149.65
2008-07-21,2139.36
2008-07-22,2179.05
2008-07-23,2321.49
2008-07-24,2276.94
2008-07-25,2245.28
2008-07-28,2261.84
2008-07-29,2241.12
2008-07-30,2268.47
2008-07-31,2262.0
2008-08-01,2283.55
2008-08-04,2362.65
2008-08-05,2361.18
2008-08-06,2366.61
2008-08-07,2427.65
2008-08-08,2423.72
2008-08-11,2431.49
2008-08-12,2388.34
2008-08-13,2371.87
2008-08-14,2358.21
2008-08-18,2333.92
2008-08-19,2303.5
2008-08-20,2309.59
2008-08-21,2288.16
2008-08-22,2306.83
2008-08-25,2298.05
2008-08-26,2292.16
2008-08-27,2284.59
2008-08-28,2262.64
2008-08-29,2313.74
2008-09-01,2290.19
2008-09-02,2305.5
2008-09-04,2293.4
2008-09-05,2291.37
2008-09-08,2297.97
2008-09-09,2279.26
2008-09-10,2247.75
2008-09-11,2209.91
2008-09-12,2181.82
2008-09-15,2084.19
2008-09-16,2028.19
2008-09-17,1987.96
2008-09-18,1910.42
2008-09-19,1995.11
2008-09-22,1982.22
2008-09-23,1937.74
2008-09-24,1923.42
2008-09-25,1886.19
2008-09-26,1843.46
2008-09-29,1748.58
2008-09-30,1775.92
2008-10-01,1833.82
2008-10-03,1750.03
2008-10-06,1581.57
2008-10-07,1544.59
2008-10-08,1440.03
2008-10-10,1294.84
2008-10-13,1395.43
2008-10-14,1420.8
2008-10-15,1314.01
2008-10-16,1331.92
2008-10-17,1287.23
2008-10-20,1284.61
