date,NIFTY FMCG
1997-05-05,1469.2
1997-05-06,1480.35
1997-05-07,1472.46
1997-05-08,1487.79
1997-05-09,1499.85
1997-05-12,1502.65
1997-05-13,1467.33
1997-05-14,1482.44
1997-05-15,1496.35
1997-05-16,1513.76
1997-05-19,1517.75
1997-05-20,1514.79
1997-05-21,1497.56
1997-05-22,1493.91
1997-05-23,1490.88
1997-05-26,1479.45
1997-05-27,1475.41
1997-05-28,1484.3
1997-05-29,1512.23
1997-05-30,1539.56
1997-06-02,1591.74
1997-06-03,1630.19
1997-06-04,1677.02
1997-06-05,1671.89
1997-06-06,1677.31
1997-06-09,1645.48
1997-06-10,1648.08
1997-06-11,1688.12
1997-06-12,1739.46
1997-06-13,1780.58
1997-06-16,1774.85
1997-06-17,1789.82
1997-06-18,1810.69
1997-06-19,1808.38
1997-06-20,1786.01
1997-06-23,1745.74
1997-06-24,1738.62
1997-06-25,1783.62
1997-06-26,1817.98
1997-06-27,1836.52
1997-06-30,1894.83
1997-07-01,1895.06
1997-07-02,1908.86
1997-07-03,1881.22
1997-07-04,1873.34
1997-07-07,1871.81
1997-07-08,1882.91
1997-07-09,1930.77
1997-07-10,1927.32
1997-07-11,1899.83
1997-07-14,1828.61
1997-07-15,1820.39
1997-07-16,1825.43
1997-07-17,1824.53
1997-07-21,1791.77
1997-07-22,1811.64
1997-07-23,1867.1
1997-07-24,1884.52
1997-07-25,1852.67
1997-07-28,1834.43
1997-07-29,1853.73
1997-07-30,1872.04
1997-07-31,1910.18
1997-08-01,1958.02
1997-08-04,2005.52
1997-08-05,2071.55
1997-08-06,2106.54
1997-08-07,2086.57
1997-08-08,2078.22
1997-08-11,2072.96
1997-08-12,2064.89
1997-08-13,2048.56
1997-08-14,2003.58
1997-08-18,1924.08
1997-08-19,1878.38
1997-08-20,1939.42
1997-08-21,1913.54
1997-08-22,1889.71
1997-08-25,1875.96
1997-08-26,1875.58
1997-08-27,1910.52
1997-08-28,1840.96
1997-08-29,1810.46
1997-09-01,1817.07
1997-09-02,1862.44
1997-09-03,1895.2
1997-09-04,1897.8
1997-09-05,1908.74
1997-09-08,1911.52
1997-09-09,1918.16
1997-09-10,1950.66
1997-09-11,1937.76
1997-09-12,1917.61
1997-09-15,1927.02
1997-09-16,1918.32
1997-09-17,1917.84
1997-09-18,1869.73
1997-09-19,1856.54
1997-09-22,1815.83
1997-09-23,1823.34
1997-09-24,1841.0
1997-09-25,1861.11
1997-09-26,1865.37
1997-09-29,1888.6
1997-09-30,1887.86
1997-10-01,1884.9
1997-10-09,1884.24
1997-10-10,1923.27
1997-10-13,1903.44
1997-10-14,1900.0
1997-10-15,1911.08
1997-10-16,1949.38
1997-10-17,1974.96
1997-10-20,2025.22
1997-10-21,1994.21
1997-10-22,1995.75
1997-10-23,1958.5
1997-10-24,1914.59
1997-10-27,1894.63
1997-10-28,1742.47
1997-10-29,1876.26
1997-10-30,1809.82
1997-11-03,1828.54
1997-11-04,1848.99
1997-11-05,1838.16
1997-11-06,1838.7
1997-11-07,1840.98
1997-11-10,1843.03
1997-11-11,1856.86
1997-11-12,1807.58
1997-11-13,1782.86
1997-11-17,1784.47
1997-11-18,1752.64
1997-11-19,1698.01
1997-11-20,1731.53
1997-11-21,1777.1
1997-11-24,1755.71
1997-11-25,1822.85
1997-11-26,1848.35
1997-11-27,1905.19
1997-11-28,1863.31
1997-12-01,1878.45
1997-12-02,1891.45
1997-12-03,1911.53
1997-12-04,1877.67
1997-12-05,1869.19
1997-12-08,1863.1
1997-12-09,1781.09
1997-12-10,1751.22
1997-12-11,1756.1
1997-12-12,1737.19
1997-12-15,1765.54
1997-12-16,1820.79
1997-12-17,1852.87
1997-12-18,1842.17
1997-12-19,1901.22
1997-12-22,1941.14
1997-12-23,1935.02
1997-12-24,1924.15
1997-12-26,1930.54
1997-12-29,1941.13
1997-12-30,1902.51
1997-12-31,1945.53
1998-01-01,1952.14
1998-01-02,1956.75
1998-01-05,1970.86
1998-01-06,1952.3
1998-01-07,1950.36
1998-01-08,1917.64
1998-01-09,1901.6
1998-01-12,1845.3
1998-01-13,1831.84
1998-01-14,1841.42
