date,NIFTY POWER
2006-09-29,1277.5
2006-10-03,1294.78
2006-10-04,1281.34
2006-10-05,1294.15
2006-10-06,1291.5
2006-10-09,1285.41
2006-10-10,1291.86
2006-10-11,1274.52
2006-10-12,1279.88
2006-10-13,1272.2
2006-10-16,1274.12
2006-10-17,1261.57
2006-10-18,1260.51
2006-10-19,1247.36
2006-10-20,1255.68
2006-10-21,1260.13
2006-10-23,1256.47
2006-10-26,1255.11
2006-10-27,1281.66
2006-10-30,1283.18
2006-10-31,1264.93
2006-11-01,1268.66
2006-11-02,1276.52
2006-11-03,1310.57
2006-11-06,1312.69
2006-11-07,1296.75
2006-11-08,1291.35
2006-11-09,1296.09
2006-11-10,1313.98
2006-11-13,1347.5
2006-11-14,1335.24
2006-11-15,1321.66
2006-11-16,1316.2
2006-11-17,1314.18
2006-11-20,1298.1
2006-11-21,1321.22
2006-11-22,1347.68
2006-11-23,1353.49
2006-11-24,1374.71
2006-11-27,1391.32
2006-11-28,1364.11
2006-11-29,1367.77
2006-11-30,1356.05
2006-12-01,1377.9
2006-12-04,1401.65
2006-12-05,1383.68
2006-12-06,1369.06
2006-12-07,1376.72
2006-12-08,1373.38
2006-12-11,1302.1
2006-12-12,1240.11
2006-12-13,1274.31
2006-12-14,1312.25
2006-12-15,1311.25
2006-12-18,1314.62
2006-12-19,1279.89
2006-12-20,1262.19
2006-12-21,1260.65
2006-12-22,1269.61
2006-12-26,1287.81
2006-12-27,1284.56
2006-12-28,1275.24
2006-12-29,1284.0
2007-01-02,1296.93
2007-01-03,1301.06
2007-01-04,1303.56
2007-01-05,1301.1
2007-01-08,1295.91
2007-01-09,1285.11
2007-01-10,1270.02
2007-01-11,1291.28
2007-01-12,1310.78
2007-01-15,1344.81
2007-01-16,1344.49
2007-01-17,1358.14
2007-01-18,1346.11
2007-01-19,1332.35
2007-01-22,1341.95
2007-01-23,1336.04
2007-01-24,1341.33
2007-01-25,1351.85
2007-01-29,1374.42
2007-01-31,1368.44
2007-02-01,1379.47
2007-02-02,1385.98
2007-02-05,1398.49
2007-02-06,1398.38
2007-02-07,1395.97
2007-02-08,1414.62
2007-02-09,1394.79
2007-02-12,1347.05
2007-02-13,1343.26
2007-02-14,1360.49
2007-02-15,1364.24
2007-02-19,1373.51
2007-02-20,1356.01
2007-02-21,1353.02
2007-02-22,1333.67
2007-02-23,1303.46
2007-02-26,1315.75
2007-02-27,1309.01
2007-02-28,1269.05
2007-03-01,1291.71
2007-03-02,1269.64
2007-03-05,1213.82
2007-03-06,1203.69
2007-03-07,1188.98
2007-03-08,1239.42
2007-03-09,1232.61
2007-03-12,1232.66
2007-03-13,1241.68
2007-03-14,1220.85
2007-03-15,1222.72
2007-03-16,1212.0
2007-03-19,1223.8
2007-03-20,1231.74
2007-03-21,1250.43
2007-03-22,1267.8
2007-03-23,1256.9
2007-03-26,1248.47
2007-03-28,1243.42
2007-03-29,1252.44
2007-03-30,1274.39
2007-04-02,1253.41
2007-04-03,1278.61
2007-04-04,1299.82
2007-04-05,1300.28
2007-04-09,1324.2
2007-04-10,1322.16
2007-04-11,1345.84
2007-04-12,1337.08
2007-04-13,1342.0
2007-04-16,1360.11
2007-04-17,1358.96
2007-04-18,1365.27
2007-04-19,1355.86
2007-04-20,1368.82
2007-04-23,1385.8
2007-04-24,1392.43
2007-04-25,1402.63
2007-04-26,1422.06
2007-04-27,1406.68
2007-04-30,1419.68
2007-05-03,1452.48
2007-05-04,1438.69
2007-05-07,1423.66
2007-05-08,1403.63
2007-05-09,1414.14
2007-05-10,1397.67
2007-05-11,1398.53
2007-05-14,1420.4
2007-05-15,1412.68
2007-05-16,1431.33
2007-05-17,1433.22
2007-05-18,1429.71
2007-05-21,1470.25
2007-05-22,1475.64
2007-05-23,1473.57
2007-05-24,1470.16
2007-05-25,1478.19
2007-05-28,1474.96
2007-05-29,1474.59
2007-05-30,1459.42
2007-05-31,1457.08
2007-06-01,1466.92
2007-06-04,1484.51
2007-06-05,1486.58
2007-06-06,1453.03
2007-06-07,1437.32
2007-06-08,1428.38
2007-06-11,1430.01
2007-06-12,1404.42
2007-06-13,1403.06
2007-06-14,1415.01
2007-06-15,1418.48
2007-06-18,1412.96
2007-06-19,1426.76
2007-06-20,1454.84
2007-06-21,1482.83
2007-06-22,1498.02
2007-06-25,1496.0
2007-06-26,1495.03
2007-06-27,1494.44
2007-06-28,1505.53
2007-06-29,1539.09
2007-07-02,1547.71
2007-07-03,1542.04
2007-07-04,1561.03
2007-07-05,1542.07
2007-07-06,1550.38
2007-07-09,1578.47
2007-07-10,1573.82
2007-07-11,1578.29
2007-07-12,1638.81
2007-07-13,1635.3
2007-07-16,1662.25
2007-07-17,1637.9
2007-07-18,1637.93
2007-07-19,1697.12
2007-07-20,1709.59
2007-07-23,1749.95
2007-07-24,1778.68
2007-07-25,1788.83
2007-07-26,1814.8
2007-07-27,1745.92
2007-07-30,1780.0
2007-07-31,1808.91
2007-08-01,1704.95
2007-08-02,1703.26
2007-08-03,1730.54
2007-08-06,1697.12
2007-08-07,1731.46
2007-08-08,1788.73
2007-08-09,1747.09
2007-08-10,1729.99
2007-08-13,1767.46
2007-08-14,1786.97
2007-08-16,1718.82
2007-08-17,1701.5
2007-08-20,1710.28
2007-08-21,1654.28
2007-08-22,1677.52
2007-08-23,1648.63
2007-08-24,1685.43
2007-08-27,1729.48
2007-08-28,1728.59
2007-08-29,1729.08
2007-08-30,1725.22
2007-08-31,1762.43
2007-09-03,1825.58
2007-09-04,1849.32
2007-09-05,1862.68
2007-09-06,1898.01
2007-09-07,1880.6
2007-09-10,1907.24
2007-09-11,1955.24
2007-09-12,1961.97
