date,K,n_excluded,excluded,passed
2008-10-31,19,6,NIFTY CAPITAL GOODS|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY METAL|NIFTY OIL & GAS|NIFTY REALTY,NIFTY AUTO|NIFTY BANK|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY MEDIA|NIFTY NBFC|NIFTY POWER|NIFTY PSU BANK|NIFTY TELECOMMUNICATIONS
2008-11-28,19,6,NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY MEDIA|NIFTY NBFC|NIFTY REALTY,NIFTY AUTO|NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY METAL|NIFTY OIL & GAS|NIFTY POWER|NIFTY PSU BANK|NIFTY TELECOMMUNICATIONS
2008-12-31,19,6,NIFTY AUTO|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY NBFC|NIFTY OIL & GAS,NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY MEDIA|NIFTY METAL|NIFTY POWER|NIFTY PSU BANK|NIFTY REALTY|NIFTY TELECOMMUNICATIONS
2009-01-30,19,6,NIFTY CONSTRUCTION|NIFTY MEDIA|NIFTY NBFC|NIFTY PSU BANK|NIFTY REALTY|NIFTY TELECOMMUNICATIONS,NIFTY AUTO|NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSUMER DURABLES|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY METAL|NIFTY OIL & GAS|NIFTY POWER
2009-02-27,19,6,NIFTY BANK|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSUMER DURABLES|NIFTY PSU BANK|NIFTY REALTY,NIFTY AUTO|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY CONSTRUCTION|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY MEDIA|NIFTY METAL|NIFTY NBFC|NIFTY OIL & GAS|NIFTY POWER|NIFTY TELECOMMUNICATIONS
2009-03-31,19,6,NIFTY BANK|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY FMCG|NIFTY NBFC|NIFTY POWER|NIFTY PSU BANK,NIFTY AUTO|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY HEALTHCARE|NIFTY IT|NIFTY MEDIA|NIFTY METAL|NIFTY OIL & GAS|NIFTY REALTY|NIFTY TELECOMMUNICATIONS
2009-04-29,19,6,NIFTY CHEMICALS|NIFTY CONSUMER DURABLES|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY OIL & GAS|NIFTY POWER,NIFTY AUTO|NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSTRUCTION|NIFTY IT|NIFTY MEDIA|NIFTY METAL|NIFTY NBFC|NIFTY PSU BANK|NIFTY REALTY|NIFTY TELECOMMUNICATIONS
2009-05-29,19,6,NIFTY AUTO|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY OIL & GAS|NIFTY TELECOMMUNICATIONS,NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY MEDIA|NIFTY METAL|NIFTY NBFC|NIFTY POWER|NIFTY PSU BANK|NIFTY REALTY
2009-06-30,19,6,NIFTY CHEMICALS|NIFTY CONSTRUCTION|NIFTY MEDIA|NIFTY METAL|NIFTY OIL & GAS|NIFTY REALTY,NIFTY AUTO|NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSUMER DURABLES|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY NBFC|NIFTY POWER|NIFTY PSU BANK|NIFTY TELECOMMUNICATIONS
2009-07-31,19,6,NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY NBFC|NIFTY OIL & GAS|NIFTY PSU BANK|NIFTY TELECOMMUNICATIONS,NIFTY AUTO|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY MEDIA|NIFTY METAL|NIFTY POWER|NIFTY REALTY
