symbol,n,start,end
ICICIPRULI,2469,2016-09-29,2026-09-21
IDEA,4823,2007-03-09,2026-09-21
IDFCFIRSTB,2688,2015-11-06,2026-09-21
IGIL,432,2024-12-30,2026-09-21
IGL,5629,2003-12-26,2026-09-21
IIFL,5272,2005-05-17,2026-09-21
INDHOTEL,6020,2002-07-01,2026-09-21
INDIACEM,7711,1996-01-02,2026-09-21
INDIAMART,1789,2019-07-04,2026-09-21
INDIANB,4828,2007-03-01,2026-09-21
INDIASHLTR,680,2023-12-20,2026-09-21
INDIGO,2685,2015-11-10,2026-09-21
INDUSINDBK,6018,2002-07-01,2026-09-21
INDUSTOWER,3391,2012-12-28,2026-09-21
INFY,7715,1996-01-01,2026-09-21
INOXGREEN,948,2022-11-23,2026-09-21
INOXWIND,2833,2015-04-09,2026-09-21
IOB,6017,2002-07-01,2026-09-21
IOC,7637,1996-04-15,2026-09-21
IPCALAB,7711,1996-01-01,2026-09-21
IRB,4581,2008-02-25,2026-09-21
IRCON,1974,2018-09-28,2026-09-21
IRCTC,1723,2019-10-14,2026-09-21
ITC,7712,1996-01-01,2026-09-21
ITCHOTELS,410,2025-01-29,2026-09-21
ITI,6016,2002-07-01,2026-09-21
IXIGO,566,2024-06-18,2026-09-21
JINDALSTEL,6742,1999-09-22,2026-09-21
JKCEMENT,5067,2006-03-14,2026-09-21
JKLAKSHMI,5003,2006-06-19,2026-09-21
JLHL,745,2023-09-18,2026-09-21
JPPOWER,5294,2005-04-18,2026-09-21
JSL,5657,2003-11-17,2026-09-21
JSLL,1088,2022-05-04,2026-09-21
JSWCEMENT,276,2025-08-14,2026-09-21
JSWENERGY,4131,2010-01-04,2026-09-21
JSWINFRA,737,2023-10-03,2026-09-21
JSWSTEEL,5796,2003-05-08,2026-09-21
JUBLFOOD,4107,2010-02-08,2026-09-21
JUSTDIAL,3283,2013-06-05,2026-09-21
JYOTICNC,666,2024-01-16,2026-09-21
KAJARIACER,6015,2002-07-01,2026-09-21
KALYANKJIL,1360,2021-03-26,2026-09-21
KAYNES,951,2022-11-22,2026-09-21
KEC,5986,2002-08-12,2026-09-21
KEI,5061,2006-03-23,2026-09-21
KIMS,1299,2021-06-28,2026-09-21
KIRLOSENG,5986,2002-08-12,2026-09-21
KNRCON,4585,2008-02-18,2026-09-21
KOTAKBANK,6279,2001-07-02,2026-09-21
KPIGREEN,1278,2021-07-27,2026-09-21
KPIL,6016,2002-07-01,2026-09-21
LAURUSLABS,2415,2016-12-19,2026-09-21
LEMONTREE,2093,2018-04-09,2026-09-21
LENSKART,0,,
LGEINDIA,0,,
LICHSGFIN,6016,2002-07-01,2026-09-21
LICI,1080,2022-05-17,2026-09-21
LINDEINDIA,6562,2000-05-31,2026-09-21
LLOYDSME,789,2023-07-17,2026-09-21
LODHA,1347,2021-04-19,2026-09-21
LT,6020,2002-07-01,2026-09-21
LTF,3726,2011-08-12,2026-09-21
LTM,2516,2016-07-21,2026-09-21
LUPIN,6228,2001-09-10,2026-09-21
M&M,7713,1996-01-01,2026-09-21
M&MFIN,5064,2006-03-17,2026-09-21
MAHABANK,5553,2004-04-12,2026-09-21
MANAPPURAM,4009,2010-06-30,2026-09-21
MANKIND,837,2023-05-09,2026-09-21
MANYAVAR,1137,2022-02-16,2026-09-21
MARICO,7627,1996-05-01,2026-09-21
MARUTI,5753,2003-07-09,2026-09-21
MAXHEALTH,1510,2020-08-21,2026-09-21
MAZDOCK,1475,2020-10-12,2026-09-21
MEDANTA,950,2022-11-18,2026-09-21
MEDPLUS,1175,2021-12-23,2026-09-21
MEESHO,0,,
MFSL,7711,1996-01-01,2026-09-21
MGL,2528,2016-07-01,2026-09-21
MMTC,4126,2010-01-08,2026-09-21
MOTHERSON,6018,2002-07-01,2026-09-21
MPHASIS,6016,2002-07-01,2026-09-21
MSTCLTD,1850,2019-04-01,2026-09-21
MUTHOOTFIN,3795,2011-05-06,2026-09-21
NATIONALUM,6845,1999-04-28,2026-09-21
NAUKRI,4894,2006-11-21,2026-09-21
NAVA,6016,2002-07-01,2026-09-21
NAVINFLUOR,4766,2007-06-01,2026-09-21
NAZARA,1359,2021-03-30,2026-09-21
NBCC,3567,2012-04-12,2026-09-21
NCC,5988,2002-08-12,2026-09-21
NESCO,4549,2008-04-08,2026-09-21
NESTLEIND,5989,2002-08-12,2026-09-21
NETWORK18,5989,2002-08-12,2026-09-21
NH,2649,2016-01-06,2026-09-21
NHPC,4212,2009-09-01,2026-09-21
NIACL,2192,2017-11-13,2026-09-21
NIVABUPA,461,2024-11-14,2026-09-21
NLCINDIA,6502,2000-08-23,2026-09-21
NMDC,4576,2008-03-03,2026-09-21
NTPC,5406,2004-11-05,2026-09-21
NTPCGREEN,455,2024-11-27,2026-09-21
NUVOCO,1260,2021-08-23,2026-09-21
NYKAA,1207,2021-11-10,2026-09-21
OBEROIRLTY,3929,2010-10-20,2026-09-21
OFSS,6019,2002-06-28,2026-09-21
OIL,4193,2009-09-30,2026-09-21
ONGC,7712,1996-01-01,2026-09-21
OPTIEMUS,2256,2017-08-08,2026-09-21
ORIENTCEM,3256,2013-07-12,2026-09-21
PARKHOSPS,0,,
PATANJALI,6017,2002-07-01,2026-09-21
PCBL,6017,2002-07-01,2026-09-21
PERSISTENT,4069,2010-04-06,2026-09-21
PETRONET,5566,2004-03-26,2026-09-21
PFOCUS,5000,2006-06-20,2026-09-21
PGEL,3699,2011-09-26,2026-09-21
PHOENIXLTD,4791,2007-04-23,2026-09-21
PIDILITIND,6017,2002-07-01,2026-09-21
PIIND,3769,2011-06-15,2026-09-21
PIRAMALFIN,0,,
PNB,6019,2002-07-01,2026-09-21
PNBHOUSING,2445,2016-11-07,2026-09-21
PNCINFRA,2802,2015-05-26,2026-09-21
POLYCAB,1841,2019-04-16,2026-09-21
POONAWALLA,5542,2004-04-27,2026-09-21
POWERGRID,4678,2007-10-05,2026-09-21
POWERINDIA,1608,2020-03-30,2026-09-21
POWERMECH,2734,2015-08-26,2026-09-21
PPLPHARMA,973,2022-10-19,2026-09-21
PRAJIND,6016,2002-07-01,2026-09-21
PREMIERENE,513,2024-09-03,2026-09-21
PRESTIGE,3925,2010-10-27,2026-09-21
PRSMJOHNSN,6015,2002-07-01,2026-09-21
PSB,3883,2010-12-30,2026-09-21
PTC,5556,2004-04-07,2026-09-21
PTCIL,813,2023-06-09,2026-09-21
PVRINOX,5112,2006-01-04,2026-09-21
PWL,0,,
QUESS,2523,2016-07-12,2026-09-21
RADICO,5767,2003-06-18,2026-09-21
RAILTEL,1379,2021-02-26,2026-09-21
RAINBOW,1082,2022-05-10,2026-09-21
RAMCOCEM,6015,2002-07-01,2026-09-21
RBA,1429,2020-12-14,2026-09-21
REDINGTON,4838,2007-02-15,2026-09-21
RELIANCE,7712,1996-01-01,2026-09-21
RITES,2033,2018-07-03,2026-09-21
ROUTE,1489,2020-09-21,2026-09-21
RPOWER,4591,2008-02-11,2026-09-21
RTNINDIA,3491,2012-07-30,2026-09-21
RTNPOWER,4172,2009-10-30,2026-09-21
RVNL,1844,2019-04-11,2026-09-21
SAIL,7715,1996-01-01,2026-09-21
SAMHI,742,2023-09-22,2026-09-21
SAMMAANCAP,3250,2013-07-23,2026-09-21
SAPPHIRE,1199,2021-11-18,2026-09-21
SAREGAMA,6014,2002-07-01,2026-09-21
SBFC,766,2023-08-16,2026-09-21
SBICARD,1618,2020-03-16,2026-09-21
SBILIFE,2220,2017-10-03,2026-09-21
SBIN,7713,1996-01-01,2026-09-21
SCI,6016,2002-07-01,2026-09-21
SHREECEM,6277,2001-07-02,2026-09-21
SHRIRAMFIN,6020,2002-07-01,2026-09-21
SIEMENS,6928,1999-01-04,2026-09-21
SJVN,4039,2010-05-20,2026-09-21
SMARTWORKS,295,2025-07-17,2026-09-21
SOBHA,4873,2006-12-20,2026-09-21
SOLARINDS,5053,2006-04-03,2026-09-21
SONACOMS,1301,2021-06-24,2026-09-21
SRF,6017,2002-07-01,2026-09-21
STARCEMENT,2289,2017-06-19,2026-09-21
STARHEALTH,1185,2021-12-10,2026-09-21
STLTECH,6426,2000-12-08,2026-09-21
SUMICHEM,1650,2020-01-27,2026-09-21
SUNDARMFIN,6015,2002-07-01,2026-09-21
SUNPHARMA,7715,1996-01-01,2026-09-21
SUNTV,5041,2006-04-24,2026-09-21
SUPREMEIND,6016,2002-07-01,2026-09-21
SUZLON,5165,2005-10-19,2026-09-21
SWIGGY,463,2024-11-13,2026-09-21
SWSOLAR,1758,2019-08-20,2026-09-21
SYNGENE,2746,2015-08-11,2026-09-21
TATACAP,0,,
TATACHEM,7715,1996-01-01,2026-09-21
TATACOMM,6016,2002-07-01,2026-09-21
TATACONSUM,7712,1996-01-01,2026-09-21
TATAPOWER,7712,1996-01-01,2026-09-21
TATASTEEL,7715,1996-01-01,2026-09-21
TBOTEK,587,2024-05-15,2026-09-21
TCS,5988,2002-08-12,2026-09-21
TDPOWERSYS,3711,2011-09-08,2026-09-21
TECHM,4953,2006-08-28,2026-09-21
TECHNOE,4807,2007-04-02,2026-09-21
TEJASNET,2287,2017-06-27,2026-09-21
THELEELA,327,2025-06-02,2026-09-21
THERMAX,6018,2002-07-01,2026-09-21
THOMASCOOK,6016,2002-07-01,2026-09-21
TIINDIA,2199,2017-11-02,2026-09-21
TIMKEN,5989,2002-08-12,2026-09-21
TIPSMUSIC,6016,2002-07-01,2026-09-21
TITAGARH,4545,2008-04-21,2026-09-21
TITAN,7715,1996-01-01,2026-09-21
TMCV,0,,
TMPV,9018,1991-01-02,2026-09-21
TORNTPHARM,6019,2002-07-01,2026-09-21
TORNTPOWER,4891,2006-11-28,2026-09-21
TRAVELFOOD,298,2025-07-14,2026-09-21
TRENT,6017,2002-07-01,2026-09-21
TRITURBINE,3677,2011-10-28,2026-09-21
TTML,6457,2000-10-26,2026-09-21
TVSMOTOR,6518,2000-08-02,2026-09-21
TVSSCS,762,2023-08-23,2026-09-21
UBL,4477,2008-07-28,2026-09-21
UCOBANK,5684,2003-10-09,2026-09-21
ULTRACEMCO,5987,2002-08-12,2026-09-21
UNIONBANK,5958,2002-09-24,2026-09-21
UNITDSPR,6017,2002-07-01,2026-09-21
UNOMINDA,4847,2007-02-02,2026-09-21
UPL,6018,2002-07-01,2026-09-21
URBANCO,254,2025-09-17,2026-09-21
USHAMART,6149,2002-01-01,2026-09-21
V2RETAIL,4743,2007-07-04,2026-09-21
VBL,2444,2016-11-08,2026-09-21
VEDL,7715,1996-01-01,2026-09-21
VMART,3352,2013-02-20,2026-09-21
VMM,440,2024-12-18,2026-09-21
VOLTAMP,4935,2006-09-20,2026-09-21
VOLTAS,6020,2002-07-01,2026-09-21
WAAREEENER,475,2024-10-28,2026-09-21
WELCORP,6544,2000-06-23,2026-09-21
WELENT,5405,2004-11-04,2026-09-21
WESTLIFE,1758,2019-08-19,2026-09-21
WEWORK,0,,
WHIRLPOOL,5989,2002-08-12,2026-09-21
WIPRO,7715,1996-01-01,2026-09-21
YATHARTH,775,2023-08-07,2026-09-21
YESBANK,5233,2005-07-12,2026-09-21
ZEEL,6017,2002-07-01,2026-09-21
ZYDUSLIFE,6587,2000-04-27,2026-09-21
