date,year,K,topU,midU,botU,topB,botB,disp
2012-03-30,2012,226,0.002007272529274703,0.0039179350196336775,-0.005977446682503493,0.05005397256000671,0.04206925334822851,0.17126664206515366
2012-04-30,2012,239,0.0045399485416961,-0.004010043193041345,-0.0004283852678182566,0.040731428169593416,0.03576309436007906,0.1376662555984226
2012-05-31,2012,205,0.024114953384394545,-0.03139131787720625,0.007738001520417723,0.08043642874957001,0.06405947688559319,0.19807784626556996
2012-07-31,2012,196,0.05470969918583111,-0.019207547237034803,-0.03520665122207263,0.09757210265715209,0.007655752249248347,0.16389808724874022
2012-08-31,2012,225,0.019948635491612514,-0.010008746549551084,-0.009939888942061522,0.023570490451698407,-0.0063180339819756395,0.17391776480738438
2012-09-28,2012,230,0.036640776902319226,-0.002749845399888824,-0.03381856714980169,0.09568596540795406,0.02522662135583312,0.23299835211564543
2012-10-31,2012,218,0.057625895503083044,-0.02079935881803986,-0.03624877671787543,0.04742519575154944,-0.04644947646940902,0.3104225440526769
2012-11-30,2012,228,0.014812120616754085,0.008101426008415876,-0.022913546625169954,0.00709979182587506,-0.030625875416048973,0.2675309939846002
2012-12-31,2012,213,0.007325273915825231,0.01646062649024307,-0.023785900406068324,-0.05626234232651278,-0.08737351664840634,0.173791146795448
2013-01-31,2013,247,-0.014276918376855302,0.02289259318431321,-0.008894852773120247,-0.04730513250287239,-0.041923066899137336,0.14751529649791184
2013-02-28,2013,210,0.030720050564379913,-0.00019915782448349576,-0.030520892739896447,0.012510589709773956,-0.048730353594502396,0.15648882792571406
2013-03-28,2013,224,0.04872645915187157,-0.029527890959685964,-0.018400517085167045,0.0679137406861735,0.0007867644491348898,0.14881020983339266
2013-04-30,2013,187,0.08438173145438334,-0.021428617516775363,-0.06260749107443421,0.055142526959329516,-0.09184669556948802,0.1932274632908786
2013-05-31,2013,230,0.0465813358653444,0.004149605161607025,-0.05084014116278318,0.08182280050707154,-0.01559867652105607,0.1697843329799391
2013-06-28,2013,247,0.0343072070825291,-0.009809324302296528,-0.024378256874106972,0.04321878475306529,-0.01546667920357077,0.15815928438015142
2013-07-31,2013,235,-0.00212247336617816,-0.05974096569429743,0.06262934887706909,0.036299743589631124,0.10105156583287837,0.1762035955606235
2013-08-30,2013,255,-0.01430983693837946,-0.043533836461977345,0.0578436734003568,0.07121474414254642,0.14336825448128265,0.24147007926342787
2013-09-30,2013,253,-0.011486223294868921,-0.038514168052569596,0.050458893348064464,0.11605257001687122,0.17799768665980462,0.284290898721366
2013-10-31,2013,227,0.03910475182532912,-0.016384869279456735,-0.022282952698420233,0.12900781432747851,0.06762010980372916,0.21298021987598192
2013-11-29,2013,212,0.07998425408215923,-0.02234475245430822,-0.05700108012915641,0.14994916756867882,0.012963833357363177,0.19281055837974997
2013-12-31,2013,224,0.04408048117694249,-0.035275067295676,-0.007852033684086088,0.07560119420986644,0.023668679348837877,0.16819483349196115
2014-01-31,2014,246,0.0638360019355161,-0.03441686217572681,-0.02941913975978934,0.1426054556104284,0.04935031391512295,0.23034029301217654
2014-02-28,2014,257,0.07025049323226634,-0.03807928769411357,-0.0312752222982912,0.2283922372637752,0.12686652173321755,0.3707322210918761
2014-03-31,2014,262,0.08418043969923437,-0.031224974792813817,-0.052596557150181474,0.3168894949602677,0.18011249811085175,0.325353097108757
2014-04-30,2014,292,0.07512811304296949,-0.007828372791076399,-0.06721903537775833,0.23294963135650484,0.09060248293577704,0.2674830286195801
2014-05-30,2014,241,0.036997229536371815,-0.02071937574267785,-0.01601886159691048,0.07832610935498527,0.025310018221702972,0.22536710857560116
2014-06-30,2014,265,0.02185512134484666,-0.04137725254145627,0.019992327248217104,0.10900523859287768,0.10714244449624814,0.2630359323970122
2014-07-31,2014,209,0.09667333970711203,-0.05543679481694839,-0.039629681272281066,0.18881994357273194,0.05251692259333886,0.22763084339284437
2014-08-28,2014,233,0.07206628715882776,-0.034877876486985655,-0.03628249180205027,0.1424942546728334,0.03414547571195533,0.22205432404636488
2014-09-30,2014,226,0.0670355324464668,-0.02790612694299841,-0.03875732381089515,0.10040717767382945,-0.00538567858353251,0.18829998172957493
2014-10-31,2014,272,0.05485797049844908,-0.000674516870332401,-0.0541684643643315,0.10258797167248755,-0.006438463190293017,0.19951886368119867
2014-11-28,2014,282,0.02838066358132569,0.019829725123090104,-0.0482103887044158,0.07213929236445404,-0.004451759921287423,0.20548495034660372
2014-12-31,2014,290,0.08363888086974008,-0.007125730140230212,-0.07636469801825507,0.11221302005844036,-0.04779055882955479,0.24703322802241032
2015-01-30,2015,228,0.057572964875674336,-0.060503125086090744,0.002930160210416415,0.10522257260428541,0.0505797679390275,0.15899833296375057
2015-03-31,2015,252,-0.017998157317227106,-0.032809923295662125,0.05080808061288923,-0.005787033325635992,0.06301920460448034,0.18159295192159614
2015-04-30,2015,255,0.043343995948365195,-0.0010164084914629393,-0.04232758745690221,0.06521920533561021,-0.020452378069657176,0.20434501716518882
2015-05-29,2015,237,0.017904304307180385,-0.009761445114646787,-0.008142859192533566,0.1017460370433842,0.07569887354367025,0.2246386955388937
2015-06-30,2015,246,0.002968432941926594,0.011979206983672665,-0.014947639925599256,0.07011688473710445,0.0522008118695786,0.21409351425253506
2015-07-31,2015,253,0.016036472436887612,-0.015735445963151476,-0.00011369973607957676,0.07010599882161977,0.053955826648652574,0.15565406175457716
2015-08-31,2015,248,0.019685048611861232,-0.041539176555239636,0.022867278591067217,0.09368435538780773,0.0968665853670137,0.20642798880555377
2015-09-30,2015,174,0.0023464393522028004,-0.013433330746898599,0.011086891394695797,0.08832965952360629,0.09707011156609927,0.19078987073016193
2015-10-30,2015,262,0.005445686152086007,0.01574820728517101,-0.021374907314098034,0.024654800851840193,-0.0021657926143438385,0.13854428750675724
2015-11-30,2015,230,-0.003483788147468236,0.010183818485096556,-0.0069680255609203545,-0.021315119474720468,-0.02479935688817258,0.12468741154791156
2015-12-31,2015,233,-0.006526295888868032,0.0031577401703417945,0.0032865364933225604,-0.0382543775463467,-0.02844154516415611,0.1312814129351805
2016-01-29,2016,217,-0.016906027894888986,-0.01790312059917973,0.03505780294683516,0.0076418819943370785,0.059605712836061225,0.14357554544412005
2016-02-29,2016,255,0.007819463413409151,-0.01631391473432446,0.008494451320915251,0.03267206278938606,0.03334705069689215,0.18937034755803314
2016-03-31,2016,222,0.012218466949972882,-0.01846507447177013,0.00624660752179724,0.0530390190724682,0.04706715964429255,0.16301731212163798
2016-04-29,2016,241,0.030004844834521188,-0.02245244820872549,-0.007271741023186616,0.0559536777450869,0.0186770918873791,0.18575296727971213
2016-05-31,2016,229,0.012159168700335933,-0.031581986769586484,0.019838370526745128,0.10234021058384012,0.1100194124102493,0.2287128086160981
2016-06-30,2016,217,0.009566252116846669,-0.015308460964901108,0.005954826361455846,0.05095446604488687,0.04734304028949605,0.18135612315132704
2016-07-29,2016,252,0.008697014849293356,-0.03956590885028293,0.030868894000989588,0.09135873141516082,0.11353061056685707,0.1902557886886261
2016-08-31,2016,241,-0.003105481328605497,0.0023964627567077696,0.0006790627874388805,0.03987349854512895,0.043658042661173325,0.15224008411348738
2016-09-30,2016,248,-0.018430610700299454,0.0032694540537942887,0.015081413864705268,-0.011182396828801587,0.02232962773620314,0.13041737512355034
2016-11-30,2016,249,0.003128131028166021,0.02373415739073262,-0.026862288418898584,0.039168658418976994,0.009178238971912398,0.1706096055000795
2016-12-30,2016,235,-0.019642556213550544,0.00042019452173606536,0.019216974582561486,0.05500214938262755,0.09386168017873961,0.21419696302437732
2017-01-31,2017,269,0.015094456961369301,-0.007828801468567173,-0.007089727369912996,0.10878359072283085,0.08659940639154856,0.20397433034097306
2017-02-28,2017,210,0.032148350851453636,0.004354074588148416,-0.03650242543960207,0.03311655499794941,-0.03553422129310628,0.18691604564124653
2017-03-31,2017,251,0.0176761478883093,-0.009341244091831699,-0.008109813577397337,0.047249415557838695,0.021463454092132055,0.1665249119302632
2017-04-28,2017,276,0.02312770426197043,-0.017652129548956272,-0.0054755747130141984,0.017342587068383222,-0.011260691906601413,0.14803945708086236
2017-05-31,2017,224,0.033841125973672746,-0.007608859848167602,-0.026026621264743862,0.07537845723271633,0.015510709994299722,0.15630796883969525
2017-06-30,2017,239,0.07503958433242686,-0.037011943961211234,-0.0370906291316913,0.13097674502519943,0.0188465315610813,0.23690439623822923
2017-07-31,2017,205,0.08108124626945047,-0.04702954817145646,-0.03336008709547261,0.1570887307980884,0.042647397433165375,0.2342599464883652
2017-08-31,2017,253,0.04911244620825285,-0.010773517787934074,-0.03821067225617674,0.1611965543280038,0.07387343586357424,0.24230954822844766
2017-09-29,2017,269,0.016643193474587238,-0.027416249515953606,0.01138915153610688,0.1285721360510824,0.12331809411260208,0.21127018493502017
2017-10-31,2017,212,0.007017846614982215,-0.015249031150827153,0.008666871140154247,0.03843399630069471,0.04008302082586673,0.16412091822482763
2017-11-30,2017,233,-0.0032633434915727085,0.0014758619233598556,0.001749147492281404,-0.008530002381536516,-0.0035175113976824057,0.13409753927136703
2017-12-29,2017,277,-0.006648233044656238,0.010759780602137286,-0.004228501694460799,-0.027388496785735798,-0.02496876543554035,0.1325251732612794
2018-01-31,2018,267,0.009209550691816807,0.034859683814229755,-0.04406923450604654,0.02112021760287985,-0.0321585675949835,0.15672194784451723
2018-02-28,2018,262,0.019820596951942757,0.006932309370224269,-0.026832588039066164,0.002506329782225417,-0.04414685520878351,0.15450801643799886
2018-03-28,2018,256,0.028133023690923565,0.012250199885586469,-0.04052734357516397,-0.019430467304616224,-0.08809083457070377,0.15257132541552015
2018-04-30,2018,324,0.01658269011485739,0.01660426954270346,-0.03318695965756086,-0.0588405500171664,-0.10861019978958465,0.1403993319640546
2018-05-31,2018,313,0.030592624418780398,-0.011405148912048399,-0.0190778106133469,-0.020010694398161926,-0.06968112943028922,0.1365091280930165
2018-06-29,2018,291,0.01588676131196932,0.01027057222925189,-0.026157333541221184,-0.01214731467181894,-0.05419140952500945,0.14387007251321482
2018-07-31,2018,282,-0.014104895017340356,0.00804182444784531,0.006063070569495072,-0.02735435791088257,-0.0071863923240471535,0.1499025460895801
2018-08-31,2018,328,0.001650106136200659,0.00873283412505596,-0.010463058005523185,-0.019316637596971123,-0.03142980173869497,0.1352284259457279
2018-09-28,2018,300,-0.027278783467489832,0.012935609321154168,0.01434317414633568,-0.009286309051002504,0.03233564856282301,0.1533402298292579
2018-10-31,2018,309,0.01060656440103074,0.015164700977677432,-0.025771265378708164,-0.008592518429165676,-0.04497034820890457,0.1256468227845589
2018-11-30,2018,312,0.0252214767421901,-0.017897923642276884,-0.007323553099913242,0.002723214964516921,-0.029821814877586415,0.11881817054058884
2018-12-31,2018,273,0.0034896466734899295,-0.015445892815941793,0.01195624614245188,3.754703757222962e-05,0.00850414650653418,0.13070175982230728
2019-01-31,2019,251,-0.010446286766947392,0.005063277353517769,0.005261002730212298,-0.02416753912742302,-0.008460249630263334,0.12678054055468477
2019-02-28,2019,236,0.004261511459474563,0.0032111166265058654,-0.007554964409737038,-0.005019559104357092,-0.01683603497356869,0.15776655725085956
2019-04-30,2019,322,0.024045996146985403,0.00501186797153869,-0.029104704006108605,-0.0021670249932021486,-0.055317725146296154,0.13849700106894175
2019-05-31,2019,321,0.01104640722742707,0.030357703512940246,-0.04140411074036731,-0.020202407060739766,-0.07265292502853415,0.14322731330054478
2019-06-28,2019,341,0.028033404993415,-0.013810234385515353,-0.0139787416807224,0.01965712983820541,-0.022355016835931996,0.1543536804061648
2019-07-31,2019,291,-0.004407499292909561,-0.00837004038792349,0.012777539680833078,0.024213246937058123,0.041398285910800775,0.19635945187359521
2019-08-30,2019,263,0.0011066178865261045,-0.010393610832314255,0.009525926528140214,0.002328287953868473,0.010747596595482583,0.21243819923311086
2019-09-30,2019,280,0.02203696884493754,-0.021076847964589106,-0.0007334881065356092,-0.005121532320794879,-0.02789198927226803,0.17481926753868599
2019-10-31,2019,343,0.008776466521313588,-0.002444372028794476,-0.006310652632617346,0.047545440999188136,0.0324583218452572,0.16258766720546536
2019-11-29,2019,216,0.06550612445193381,0.013123908728608323,-0.07863003318054211,0.08367366486087688,-0.06046249277159902,0.1922480939078985
2019-12-31,2019,350,0.09978614777609722,-0.011559421898555454,-0.08802742549998052,0.08745362355800686,-0.10035994971807091,0.19618713967574306
2020-01-31,2020,275,0.058430139239589396,-0.015271419060525515,-0.04282308459531606,0.06557385313563095,-0.035679370699274494,0.22444230360422793
2020-02-28,2020,338,0.04501443591575235,-0.01736152217722077,-0.027342886556795537,0.02659271369335608,-0.0457646087791918,0.21971371276653048
2020-03-31,2020,290,-0.07027059497460685,-0.026063149634798968,0.09687672689346422,0.0279345670004691,0.19508188886854014,0.31209252495452366
2020-04-30,2020,296,-0.019596850692744937,-0.012005404662419651,0.03184726361358134,0.025791240983449513,0.07723535528977579,0.23848294449620824
2020-05-29,2020,319,-0.08323415076160086,-0.057742847530092754,0.14152174213631719,0.0551549870145362,0.2799108799124542,0.30573518761271146
2020-06-30,2020,225,-0.02644353724036766,-0.0006624524433368558,0.027105989683704503,-0.0611620699662773,-0.007612543042205149,0.17366732067912885
2020-07-31,2020,402,-0.03084689787187809,0.007316171314731713,0.023530726557146397,0.003975756128546877,0.058353380557571354,0.19447934726072
2020-08-31,2020,272,-0.02785800736756952,-0.01655340853583788,0.044779269426426016,-0.06877313417480621,0.0038641426191893097,0.18287736989308492
2020-09-30,2020,314,-0.026651348453631287,0.012700553595188199,0.013706553443151023,-0.05367692209822146,-0.013319020201439161,0.17899748453021014
2020-10-30,2020,347,-0.0028047228699689406,-0.004136628925941888,0.007013293168535911,0.04106797593980365,0.0508859919783085,0.1990102896323978
2020-11-27,2020,302,0.008836718173683103,0.01974659054037256,-0.028978240524863117,0.08338457725042345,0.045569618551877224,0.26834651524958664
2020-12-31,2020,356,0.06391549097335177,-0.006624748851534255,-0.05717845824297797,0.09929559546198798,-0.021798353754341766,0.23397335144277873
2021-01-29,2021,340,0.03650296870717416,0.013098655491114443,-0.04971754150351971,0.07193378710526482,-0.014286723105429057,0.22460616783576243
2021-02-26,2021,270,-0.002803937097882187,0.00989119002786712,-0.007087252929984869,0.041341755783205744,0.03705843995110307,0.19018659751597503
2021-03-31,2021,390,-0.02933249827798095,-0.02724812113856348,0.05658061941654452,0.07250857688613972,0.15842169458066516,0.25355470759733034
2021-04-30,2021,300,0.010106319161377574,-0.02439535549211753,0.01428903633074007,0.11747342205738137,0.12165613922674387,0.24929655958818814
2021-05-31,2021,355,-0.0013764681800371749,0.010155507647179625,-0.008865103091271096,-0.011199023819809015,-0.018687658731042937,0.17997426797224608
2021-06-30,2021,363,-0.03453272711179888,0.023516708623952325,0.01101601848784655,-0.07081316806915318,-0.025264422469507768,0.21022085292415604
2021-07-30,2021,320,-0.0029494124163530143,0.0026122372447139495,0.0002878876764557874,-0.06905424036942007,-0.06581694027661127,0.18039756208126126
2021-08-31,2021,379,-0.00907100258789252,0.01991864175737794,-0.011005723627877283,0.0040509157450320235,0.0021161947050472594,0.1576520695044677
2021-09-30,2021,357,0.03414298515820128,0.00884285646214996,-0.042985841620351274,0.0385733630867006,-0.03855546369185196,0.15073152155225616
2021-10-29,2021,355,0.02190487092703773,-0.015364905885907576,-0.006409753974300426,0.03849780251049444,0.01018317760915629,0.1584996538621955
2021-11-30,2021,285,0.006590021409727883,-0.008290028686356785,0.0017000072766288963,-0.015385238059766142,-0.020275252192865127,0.1383621064533716
2021-12-31,2021,351,0.03502307575683582,0.0020239347642349984,-0.03704701052107078,0.014731173950446073,-0.057338912327460516,0.19934521024046348
2022-01-31,2022,296,0.04494231413132234,0.006656257103428998,-0.051734413216453966,0.07029284721320045,-0.02638388013457586,0.2092696850997933
2022-02-28,2022,331,0.031287736404786166,-0.004533417926057072,-0.026713105588492204,0.053156493129615096,-0.004844348863663276,0.2129834848397536
2022-03-31,2022,313,-0.016657021412371045,0.010434200179912735,0.006122492384574536,-0.007503526665366493,0.015275987131579084,0.1887385108460823
2022-04-29,2022,340,-0.004023433104812363,0.018316735706697684,-0.014455397608139279,-0.012168112198241203,-0.022600076701568116,0.1345921063265539
2022-05-31,2022,386,0.006469851527063326,0.005830781646367726,-0.012391739136655568,0.024231477077545766,0.005369886413826874,0.14029742039085039
2022-06-30,2022,379,0.012237232308648545,-0.018582357837041867,0.006492604558846051,0.05083699567999329,0.04509236793019079,0.17227783160674665
2022-07-29,2022,315,0.034649857780939146,-0.012976547553505243,-0.021673310227433913,0.08455673499200615,0.02823356698363309,0.17368793878492833
